step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,49.5981,23.1801,72.7782,8.64626,3.6904,12.3367,5.89934,5.89934,0.681497,0.318503,4.02038,1.87896
2,44.5556,19.9634,64.519,8.44815,4.45098,12.8991,5.00181,5.00181,0.690581,0.309419,3.45415,1.54766
3,44.5918,20.5107,65.1025,8.82674,4.99208,13.8188,4.71115,4.71115,0.684948,0.315052,3.22689,1.48426
4,50.0233,21.0051,71.0284,10.9972,6.625,17.6222,4.03063,4.03063,0.704272,0.295728,2.83866,1.19197
5,50.9284,21.2996,72.2279,11.3519,6.94855,18.3005,3.94678,3.94678,0.705106,0.294894,2.7829,1.16388
6,51.4624,21.3836,72.846,11.1672,6.81279,17.98,4.0515,4.0515,0.706455,0.293545,2.8622,1.1893
7,52.6516,21.8079,74.4595,11.8427,8.80792,20.6506,3.60568,3.60568,0.707118,0.292882,2.54964,1.05604
8,53.3732,22.0362,75.4094,11.6855,8.29621,19.9817,3.77392,3.77392,0.707779,0.292221,2.6711,1.10282
9,53.2382,21.9555,75.1937,10.8793,7.36671,18.246,4.1211,4.1211,0.708015,0.291985,2.9178,1.2033
10,53.9181,22.0195,75.9375,10.8488,7.04542,17.8942,4.24369,4.24369,0.710032,0.289968,3.01315,1.23053
11,60.4996,25.1565,85.656,11.8407,7.64488,19.4856,4.39586,4.39586,0.706308,0.293692,3.10483,1.29103
12,62.112,25.7132,87.8252,12.9491,9.63925,22.5883,3.88808,3.88808,0.707223,0.292777,2.74974,1.13834
13,61.1665,25.3923,86.5587,12.9731,9.73085,22.7039,3.8125,3.8125,0.706647,0.293353,2.69409,1.11841
14,61.7349,25.6161,87.351,12.8609,9.73223,22.5932,3.86626,3.86626,0.706745,0.293255,2.73246,1.1338
15,63.7767,26.2939,90.0706,13.1503,9.89347,23.0437,3.90868,3.90868,0.708074,0.291926,2.76763,1.14104
16,62.6578,26.0922,88.7499,12.8986,9.5358,22.4344,3.95597,3.95597,0.706004,0.293996,2.79293,1.16304
17,62.0935,25.7721,87.8656,12.7981,9.4445,22.2426,3.95034,3.95034,0.706687,0.293313,2.79165,1.15868
18,61.5412,25.3129,86.8541,12.5311,9.24849,21.7796,3.98786,3.98786,0.708558,0.291442,2.82563,1.16223
19,61.8657,25.382,87.2477,12.0551,8.76027,20.8154,4.1915,4.1915,0.709081,0.290919,2.97211,1.21939
20,64.6625,27.2048,91.8673,12.8904,9.72647,22.6169,4.06189,4.06189,0.703868,0.296132,2.85904,1.20285
21,62.2843,25.5179,87.8023,12.5584,9.80263,22.3611,3.92657,3.92657,0.70937,0.29063,2.78539,1.14118
22,63.6247,26.1497,89.7743,12.773,9.37414,22.1472,4.05353,4.05353,0.708718,0.291282,2.87281,1.18072
23,63.4596,26.1156,89.5752,12.5926,9.83083,22.4234,3.99472,3.99472,0.70845,0.29155,2.83006,1.16466
24,63.6685,26.0995,89.7681,12.564,9.85599,22.42,4.00393,4.00393,0.709256,0.290744,2.83981,1.16412
25,63.679,26.1044,89.7835,12.5234,10.3395,22.8629,3.92704,3.92704,0.709251,0.290749,2.78526,1.14178
26,63.6538,26.0947,89.7485,12.578,10.0825,22.6605,3.96057,3.96057,0.709247,0.290753,2.80902,1.15155
27,63.6852,26.0846,89.7698,12.6942,10.1086,22.8028,3.93679,3.93679,0.709427,0.290573,2.79286,1.14392
28,63.7182,26.0838,89.802,12.0941,9.04196,21.1361,4.24875,4.24875,0.709541,0.290459,3.01467,1.23409
29,63.682,26.0843,89.7662,11.9735,9.02307,20.9966,4.27528,4.27528,0.70942,0.29058,3.03297,1.24231
30,63.7655,26.1422,89.9077,12.5064,10.0845,22.591,3.97981,3.97981,0.709233,0.290767,2.82261,1.1572
