topic,network,alpha,seed,agent,type,z,z_neighbors,gap,degree
abortion,random,0.0,2,23,Type-L,-0.739466,-0.739466,0.0,5
abortion,random,0.0,2,24,Type-L,-0.611388,-0.739466,0.128078,5
abortion,random,0.0,2,25,Type-L,-0.205464,-0.739466,0.534003,5
abortion,random,0.0,2,26,Type-L,-0.706888,-0.739466,0.032578,5
abortion,random,0.0,2,27,Type-L,-0.587583,-0.650929,0.063346,5
abortion,random,0.0,2,28,Type-L,-0.680753,-0.420503,0.26025,5
abortion,random,0.0,2,29,Type-L,-0.707196,-0.670029,0.037167,5
abortion,random,0.0,2,30,Type-L,-0.724359,-0.688512,0.035847,5
abortion,random,0.0,2,31,Type-L,-0.307041,-0.454874,0.147833,5
abortion,random,0.0,2,32,Type-L,-0.72325,-0.712097,0.011153,5
abortion,random,0.0,2,33,Type-L,-0.082063,0.077225,0.159288,5
abortion,random,0.0,2,34,Type-L,0.032869,0.016321,0.016548,5
abortion,random,0.0,2,35,Type-L,-0.00776,-0.153113,0.145353,5
abortion,random,0.0,2,36,Type-L,0.729728,0.767822,0.038093,5
abortion,random,0.0,2,37,Type-L,0.318536,0.179526,0.139011,5
abortion,random,0.0,2,38,Type-L,0.532354,0.136762,0.395592,5
abortion,random,0.0,2,39,Type-L,0.700927,0.618292,0.082635,5
abortion,random,0.0,2,40,Type-L,0.861776,0.495579,0.366198,5
abortion,random,0.0,2,41,Type-L,0.869013,0.873384,0.004371,5
abortion,random,0.0,2,42,Type-L,0.771105,0.863787,0.092681,5
abortion,random,0.0,2,43,Type-L,0.901423,0.866902,0.034521,5
abortion,random,0.0,2,44,Type-L,0.856235,0.74252,0.113714,5
abortion,random,0.0,2,45,Type-L,0.76543,0.874831,0.109401,5
abortion,random,0.0,2,46,Type-L,0.867916,0.864565,0.003351,5
abortion,random,0.0,2,47,Type-L,0.863994,0.874387,0.010393,5
abortion,random,0.0,2,48,Type-L,0.871809,0.872824,0.001016,5
abortion,random,0.0,2,49,Type-L,0.745411,0.874831,0.12942,5
abortion,random,0.0,3,0,Type-L,0.065761,-0.805448,0.871209,5
abortion,random,0.0,3,1,Type-L,-0.702983,-0.805448,0.102465,5
abortion,random,0.0,3,2,Type-L,-0.805448,-0.805448,0.0,5
abortion,random,0.0,3,3,Type-L,-0.775407,-0.805448,0.030041,5
abortion,random,0.0,3,4,Type-L,-0.737467,-0.805448,0.067981,5
abortion,random,0.0,3,5,Type-L,-0.456898,-0.805448,0.348551,5
abortion,random,0.0,3,6,Type-L,0.042238,-0.805448,0.847687,5
abortion,random,0.0,3,7,Type-L,-0.805448,-0.805448,0.0,5
abortion,random,0.0,3,8,Type-L,-0.647215,-0.805448,0.158233,5
abortion,random,0.0,3,9,Type-L,-0.678603,-0.805448,0.126845,5
abortion,random,0.0,3,10,Type-L,-0.339533,-0.805448,0.465915,5
abortion,random,0.0,3,11,Type-L,-0.805448,-0.805448,0.0,5
abortion,random,0.0,3,12,Type-L,0.051753,-0.805448,0.857202,5
abortion,random,0.0,3,13,Type-L,-0.56454,-0.805448,0.240909,5
abortion,random,0.0,3,14,Type-L,-0.805448,-0.805448,0.0,5
abortion,random,0.0,3,15,Type-L,-0.805448,-0.805448,0.0,5
abortion,random,0.0,3,16,Type-L,-0.745041,-0.805448,0.060407,5
abortion,random,0.0,3,17,Type-L,-0.284534,-0.805448,0.520914,5
abortion,random,0.0,3,18,Type-L,-0.805448,-0.805448,0.0,5
abortion,random,0.0,3,19,Type-L,-0.32338,-0.805448,0.482068,5
abortion,random,0.0,3,20,Type-L,-0.16213,-0.805448,0.643318,5
abortion,random,0.0,3,21,Type-L,-0.007724,-0.805448,0.797724,5
abortion,random,0.0,3,22,Type-L,-0.805448,-0.805448,0.0,5
abortion,random,0.0,3,23,Type-L,-0.745041,-0.805448,0.060407,5
abortion,random,0.0,3,24,Type-L,-0.30449,-0.805448,0.500959,5
abortion,random,0.0,3,25,Type-L,-0.572473,-0.805448,0.232976,5
abortion,random,0.0,3,26,Type-L,-0.10369,-0.805448,0.701758,5
abortion,random,0.0,3,27,Type-L,-0.744959,-0.686795,0.058164,5
abortion,random,0.0,3,28,Type-L,-0.572035,-0.394133,0.177902,5
abortion,random,0.0,3,29,Type-L,-0.702586,-0.693771,0.008815,5
abortion,random,0.0,3,30,Type-L,-0.755332,-0.686795,0.068537,5
abortion,random,0.0,3,31,Type-L,-0.546366,-0.501096,0.04527,5
abortion,random,0.0,3,32,Type-L,-0.702586,-0.71332,0.010733,5
abortion,random,0.0,3,33,Type-L,0.269078,0.083292,0.185785,5
abortion,random,0.0,3,34,Type-L,0.115874,0.058573,0.057301,5
abortion,random,0.0,3,35,Type-L,0.140835,-0.172514,0.313348,5
abortion,random,0.0,3,36,Type-L,0.594242,0.793893,0.199651,5
abortion,random,0.0,3,37,Type-L,0.313993,0.270378,0.043615,5
abortion,random,0.0,3,38,Type-L,0.313993,0.270378,0.043615,5
abortion,random,0.0,3,39,Type-L,0.313993,0.444334,0.13034,5
abortion,random,0.0,3,40,Type-L,0.313993,0.36106,0.047067,5
abortion,random,0.0,3,41,Type-L,0.886862,0.910205,0.023343,5
abortion,random,0.0,3,42,Type-L,0.94417,0.873621,0.070549,5
abortion,random,0.0,3,43,Type-L,0.901812,0.907215,0.005403,5
abortion,random,0.0,3,44,Type-L,0.685447,0.837166,0.151719,5
abortion,random,0.0,3,45,Type-L,0.913663,0.904845,0.008818,5
abortion,random,0.0,3,46,Type-L,0.725749,0.873621,0.147872,5
abortion,random,0.0,3,47,Type-L,0.788049,0.910906,0.122857,5
abortion,random,0.0,3,48,Type-L,0.908024,0.905973,0.002051,5
abortion,random,0.0,3,49,Type-L,0.883358,0.910906,0.027549,5
abortion,random,0.0,4,0,Type-L,-0.07536,-0.790386,0.715026,5
abortion,random,0.0,4,1,Type-L,-0.773727,-0.790386,0.016659,5
abortion,random,0.0,4,2,Type-L,-0.794727,-0.786684,0.008043,5
abortion,random,0.0,4,3,Type-L,-0.352476,-0.790386,0.437911,5
abortion,random,0.0,4,4,Type-L,-0.37777,-0.790386,0.412616,5
abortion,random,0.0,4,5,Type-L,-0.76599,-0.790386,0.024396,5
abortion,random,0.0,4,6,Type-L,-0.181215,-0.790386,0.609172,5
abortion,random,0.0,4,7,Type-L,-0.776214,-0.790386,0.014172,5
abortion,random,0.0,4,8,Type-L,-0.433427,-0.790386,0.356959,5
abortion,random,0.0,4,9,Type-L,-0.501711,-0.790386,0.288675,5
abortion,random,0.0,4,10,Type-L,-0.208634,-0.790386,0.581752,5
abortion,random,0.0,4,11,Type-L,-0.794727,-0.786684,0.008043,5
abortion,random,0.0,4,12,Type-L,-0.219222,-0.790386,0.571165,5
abortion,random,0.0,4,13,Type-L,-0.230246,-0.790386,0.56014,5
abortion,random,0.0,4,14,Type-L,-0.776214,-0.790386,0.014172,5
abortion,random,0.0,4,15,Type-L,-0.794727,-0.786684,0.008043,5
abortion,random,0.0,4,16,Type-L,-0.024893,-0.790386,0.765494,5
abortion,random,0.0,4,17,Type-L,-0.33699,-0.790386,0.453397,5
abortion,random,0.0,4,18,Type-L,-0.791537,-0.787322,0.004215,5
abortion,random,0.0,4,19,Type-L,-0.265543,-0.790386,0.524843,5
abortion,random,0.0,4,20,Type-L,-0.100204,-0.790386,0.690183,5
abortion,random,0.0,4,21,Type-L,-0.709326,-0.790386,0.081061,5
abortion,random,0.0,4,22,Type-L,-0.776214,-0.790386,0.014172,5
abortion,random,0.0,4,23,Type-L,-0.116984,-0.790386,0.673403,5
abortion,random,0.0,4,24,Type-L,-0.295989,-0.790386,0.494398,5
abortion,random,0.0,4,25,Type-L,-0.393913,-0.790386,0.396473,5
abortion,random,0.0,4,26,Type-L,-0.326527,-0.790386,0.463859,5
abortion,random,0.0,4,27,Type-L,-0.698471,-0.689674,0.008797,5
abortion,random,0.0,4,28,Type-L,-0.684648,-0.411859,0.272788,5
abortion,random,0.0,4,29,Type-L,-0.700957,-0.689177,0.01178,5
abortion,random,0.0,4,30,Type-L,-0.700957,-0.689177,0.01178,5
abortion,random,0.0,4,31,Type-L,-0.660851,-0.411859,0.248991,5
abortion,random,0.0,4,32,Type-L,-0.700957,-0.698872,0.002085,5
abortion,random,0.0,4,33,Type-L,-0.103331,0.069869,0.1732,5
abortion,random,0.0,4,34,Type-L,0.088601,-0.014271,0.102872,5
abortion,random,0.0,4,35,Type-L,0.156535,-0.142073,0.298609,5
abortion,random,0.0,4,36,Type-L,0.856215,0.782007,0.074208,5
abortion,random,0.0,4,37,Type-L,0.017274,0.051342,0.034069,5
abortion,random,0.0,4,38,Type-L,0.111828,0.032431,0.079397,5
abortion,random,0.0,4,39,Type-L,0.810685,0.651177,0.159508,5
abortion,random,0.0,4,40,Type-L,0.795425,0.514458,0.280967,5
abortion,random,0.0,4,41,Type-L,0.910116,0.88965,0.020466,5
abortion,random,0.0,4,42,Type-L,0.866304,0.823298,0.043007,5
abortion,random,0.0,4,43,Type-L,0.918387,0.887996,0.030391,5
abortion,random,0.0,4,44,Type-L,0.697519,0.81114,0.113621,5
abortion,random,0.0,4,45,Type-L,0.871987,0.897276,0.025289,5
abortion,random,0.0,4,46,Type-L,0.802738,0.849675,0.046937,5
abortion,random,0.0,4,47,Type-L,0.935358,0.884602,0.050756,5
abortion,random,0.0,4,48,Type-L,0.803669,0.90043,0.096762,5
abortion,random,0.0,4,49,Type-L,0.843183,0.90043,0.057248,5
abortion,random,0.0,5,0,Type-L,-0.282811,-0.717556,0.434745,5
abortion,random,0.0,5,1,Type-L,-0.717556,-0.717556,0.0,5
abortion,random,0.0,5,2,Type-L,-0.717556,-0.717556,0.0,5
abortion,random,0.0,5,3,Type-L,-0.581399,-0.717556,0.136157,5
abortion,random,0.0,5,4,Type-L,-0.217015,-0.717556,0.500541,5
abortion,random,0.0,5,5,Type-L,-0.61139,-0.717556,0.106166,5
abortion,random,0.0,5,6,Type-L,-0.156396,-0.717556,0.56116,5
abortion,random,0.0,5,7,Type-L,-0.717556,-0.717556,0.0,5
abortion,random,0.0,5,8,Type-L,-0.546291,-0.717556,0.171265,5
abortion,random,0.0,5,9,Type-L,-0.550015,-0.717556,0.167541,5
abortion,random,0.0,5,10,Type-L,-0.40231,-0.717556,0.315245,5
abortion,random,0.0,5,11,Type-L,-0.717556,-0.717556,0.0,5
abortion,random,0.0,5,12,Type-L,-0.43339,-0.717556,0.284166,5
abortion,random,0.0,5,13,Type-L,-0.131754,-0.717556,0.585802,5
abortion,random,0.0,5,14,Type-L,-0.717556,-0.717556,0.0,5
abortion,random,0.0,5,15,Type-L,-0.717556,-0.717556,0.0,5
abortion,random,0.0,5,16,Type-L,-0.498848,-0.717556,0.218708,5
