step,polarization,modularity,poa,dS,C_out,dL,deltacon,n_comm,max_comm_share,ari_camp,in_gini,parse_fail,Q_rand_mean,Q_rand_sd,Q_norm,z_Q,swap_fail
1,0.15396438384790978,0.4550617283950617,4.910135093326702,,,,,4,0.38,0.4578773736723527,0.61024,0,0.22485481481481479,0.00843480641233303,0.23228098765432098,27.538389892942792,0
2,0.42537836075094765,0.5733819853034015,2.3664870429630085,0.688,0.31200000000000006,0.40542709321092424,0.18911658861176403,4,0.36,0.5072061876129739,0.50576,0,0.2583122900936845,0.010555829882027168,0.30860521198959623,29.235523444257225,0
3,0.5083538135878587,0.6014069690992767,2.344856578258022,0.212,0.7879999999999999,0.26272797344894117,0.3317175232967167,4,0.36,0.4986844029631458,0.416,0,0.26801512163050634,0.015162489734507309,0.3391512163050624,22.36777879118431,0
4,0.5623318308857715,0.6179691036668176,2.9902323058339526,0.18,0.8199999999999998,0.26191999100781777,0.3372876049821847,5,0.28,0.3793216990451103,0.37872,0,0.2773228836577637,0.01428356371900549,0.34064622000905387,23.84882559495956,0
5,0.5924370119960424,0.6317686713897819,2.927982244988346,0.172,0.8279999999999998,0.20444969489960801,0.33200066699291464,5,0.3,0.3992153016184404,0.33888,0,0.29099981273992703,0.011012048537730652,0.34076885864985484,30.94509232158543,0
6,0.614173567084526,0.6416096332644629,2.783594649120714,0.128,0.872,0.26762244097219623,0.37076157875278665,6,0.26,0.32611464625474285,0.28624,0,0.2953948217975207,0.014549508131820717,0.34621481146694216,23.795636823608348,0
7,0.6111772045615922,0.6356244897959182,2.276227208436483,0.116,0.8839999999999999,0.31660359249875153,0.3597646425418072,5,0.3,0.37786012366214067,0.21552,0,0.2944897959183674,0.01211639840755821,0.34113469387755097,28.154793396753206,0
8,0.607789033587203,0.6652113365200044,2.4754271230792577,0.092,0.9079999999999998,0.18508790574274636,0.3194216394453962,5,0.28,0.36463509348067363,0.21136,0,0.30782584967443255,0.014927689715630086,0.35738548684557186,23.941111696029576,0
9,0.6089353202429874,0.6584808149910767,2.8194590067756993,0.064,0.9359999999999999,0.12787954454362144,0.4115452372280693,5,0.26,0.3793500596022841,0.17888,0,0.30948561124330765,0.014291495452178893,0.34899520374776916,24.419782024599886,0
10,0.6262320579482348,0.6859277359397532,3.345879665664093,0.08,0.92,0.18967529058324306,0.30984204528999054,6,0.26,0.33751180492214805,0.18736,0,0.3206497356192918,0.01447750752937119,0.3652780003204614,25.230724251353696,0
11,0.6339787660350619,0.6969531250000001,3.4140088163055213,0.056,0.9439999999999997,0.13052773615719573,0.39670256059192927,6,0.22,0.24841772151898733,0.2016,0,0.31705273437500003,0.013951796653201872,0.38341601562499994,27.48147963703354,0
12,0.6269592739126785,0.6921607962655763,3.4459292028660644,0.028,0.9719999999999999,0.12513832609872855,0.5040441237771395,6,0.26,0.33751180492214805,0.18144,0,0.3193752170055168,0.011224913058708772,0.37278557926005945,33.21055381991011,0
