step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,68.35,46.3893,114.739,8.03226,6.05904,14.0913,8.14256,8.14256,0.595698,0.404302,4.85051,3.29205
2,8.99826,4.24458,13.2428,4.21257,1.18723,5.39981,2.45247,2.45247,0.679481,0.320519,1.6664,0.786062
3,6.30221,2.03862,8.34082,4.09413,1.05711,5.15124,1.61919,1.61919,0.755586,0.244414,1.22344,0.395753
4,6.48069,1.88591,8.3666,4.14433,0.922337,5.06666,1.6513,1.6513,0.774591,0.225409,1.27908,0.372219
5,5.10531,0.952075,6.05739,3.10827,0.412916,3.52119,1.72027,1.72027,0.842824,0.157176,1.44988,0.270384
6,4.85339,0.873138,5.72652,2.97577,0.460803,3.43657,1.66635,1.66635,0.847527,0.152473,1.41228,0.254072
7,4.77327,0.913741,5.68701,2.55918,0.427951,2.98713,1.90384,1.90384,0.839328,0.160672,1.59794,0.305893
8,4.81851,0.917146,5.73566,2.76383,0.370428,3.13425,1.82999,1.82999,0.840098,0.159902,1.53737,0.29262
9,4.7731,0.846868,5.61997,2.94003,0.435246,3.37527,1.66504,1.66504,0.849311,0.150689,1.41414,0.250903
10,4.67322,0.879785,5.55301,2.54871,0.425898,2.97461,1.8668,1.8668,0.841566,0.158434,1.57104,0.295765
11,4.45973,0.845781,5.30551,2.56001,0.397433,2.95745,1.79395,1.79395,0.840584,0.159416,1.50797,0.285984
12,4.64821,0.847358,5.49556,2.93465,0.437908,3.37255,1.6295,1.6295,0.845811,0.154189,1.37824,0.251251
13,5.57884,1.20677,6.78561,3.68064,0.575953,4.2566,1.59414,1.59414,0.822158,0.177842,1.31063,0.283505
14,5.51991,1.14852,6.66843,3.38612,0.448731,3.83485,1.7389,1.7389,0.827768,0.172232,1.43941,0.299495
15,5.48079,1.16627,6.64706,3.4151,0.438545,3.85365,1.72487,1.72487,0.824543,0.175457,1.42223,0.302641
16,5.55968,1.16966,6.72934,3.27552,0.45322,3.72874,1.80472,1.80472,0.826185,0.173815,1.49104,0.313687
17,5.25905,1.14309,6.40214,3.27742,0.452413,3.72984,1.71647,1.71647,0.821452,0.178548,1.40999,0.306471
18,5.25284,1.14326,6.39611,3.31702,0.450066,3.76708,1.69789,1.69789,0.821256,0.178744,1.39441,0.303488
19,5.26131,1.14431,6.40561,3.32184,0.451002,3.77284,1.69782,1.69782,0.821359,0.178641,1.39452,0.3033
20,5.25246,1.14824,6.4007,3.27552,0.45322,3.72874,1.71658,1.71658,0.820607,0.179393,1.40864,0.307943
21,5.21094,1.15047,6.36141,3.27742,0.452413,3.72984,1.70555,1.70555,0.819149,0.180851,1.3971,0.30845
22,5.26292,1.14586,6.40878,3.30132,0.452232,3.75355,1.70739,1.70739,0.821205,0.178795,1.40212,0.305273
23,5.37584,1.16864,6.54448,3.37272,0.473649,3.84637,1.70147,1.70147,0.821432,0.178568,1.39764,0.303828
24,5.43258,1.19206,6.62464,3.41932,0.517521,3.93685,1.68273,1.68273,0.820057,0.179943,1.37993,0.302796
25,5.42065,1.19401,6.61466,3.33319,0.474602,3.8078,1.73714,1.73714,0.819491,0.180509,1.42357,0.313569
26,5.41725,1.19874,6.61599,3.31277,0.458653,3.77143,1.75424,1.75424,0.818812,0.181188,1.43639,0.317848
27,5.45165,1.19274,6.64438,3.40692,0.486277,3.89319,1.70667,1.70667,0.82049,0.17951,1.4003,0.306364
28,5.42333,1.18923,6.61256,3.42787,0.512884,3.94075,1.67799,1.67799,0.820156,0.179844,1.37622,0.301777
29,5.40332,1.20005,6.60337,3.38569,0.511205,3.8969,1.69452,1.69452,0.818267,0.181733,1.38657,0.30795
30,5.36933,1.20415,6.57347,3.38584,0.513672,3.89951,1.68572,1.68572,0.816817,0.183183,1.37692,0.308794
31,5.3963,1.20081,6.59711,3.40809,0.511216,3.91931,1.68323,1.68323,0.817979,0.182021,1.37685,0.306383
32,5.40493,1.19831,6.60324,3.42739,0.511554,3.93894,1.6764,1.6764,0.818526,0.181474,1.37218,0.304222
33,5.43197,1.19969,6.63166,3.42335,0.51559,3.93894,1.68361,1.68361,0.819097,0.180903,1.37904,0.304572
34,5.40394,1.19796,6.6019,3.39819,0.517837,3.91603,1.68587,1.68587,0.818543,0.181457,1.37995,0.305912
35,5.39912,1.19872,6.59784,3.39764,0.51693,3.91457,1.68546,1.68546,0.818316,0.181684,1.37924,0.306221
