step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,44.8528,21.3393,66.1922,7.91892,3.1425,11.0614,5.98406,5.98406,0.677616,0.322384,4.05489,1.92917
2,49.3272,20.4955,69.8227,11.3896,7.40381,18.7934,3.71528,3.71528,0.706464,0.293536,2.62471,1.09057
3,60.9729,27.4821,88.4551,12.6231,10.4178,23.0409,3.83904,3.83904,0.68931,0.31069,2.64629,1.19275
4,60.9313,26.9138,87.8451,11.9619,8.65972,20.6217,4.25985,4.25985,0.693622,0.306378,2.95472,1.30512
5,58.4154,26.1708,84.5862,11.9555,8.93463,20.8902,4.04909,4.04909,0.690602,0.309398,2.79631,1.25278
6,57.1876,25.1271,82.3147,9.16023,6.71009,15.8703,5.18671,5.18671,0.694743,0.305257,3.60343,1.58328
7,53.9277,23.2436,77.1714,10.6135,8.28692,18.9004,4.08305,4.08305,0.698805,0.301195,2.85325,1.22979
8,47.5345,21.3718,68.9063,7.65992,5.26503,12.9249,5.33127,5.33127,0.689843,0.310157,3.67774,1.65353
9,49.4717,22.38,71.8517,8.05855,5.03736,13.0959,5.48658,5.48658,0.688525,0.311475,3.77765,1.70893
10,48.5997,22.2803,70.88,8.86947,6.45478,15.3243,4.62535,4.62535,0.685662,0.314338,3.17142,1.45392
11,46.9867,21.6061,68.5928,8.06666,5.90132,13.968,4.91072,4.91072,0.685009,0.314991,3.36389,1.54683
12,49.5538,23.0911,72.6449,8.98927,5.99113,14.9804,4.84933,4.84933,0.682137,0.317863,3.30791,1.54142
13,55.1001,24.9109,80.011,9.10128,6.90807,16.0093,4.99777,4.99777,0.688657,0.311343,3.44175,1.55602
14,49.4488,23.0608,72.5096,8.25723,5.50656,13.7638,5.26814,5.26814,0.681962,0.318038,3.59267,1.67547
15,47.315,22.089,69.404,7.99783,5.13811,13.1359,5.28352,5.28352,0.681733,0.318267,3.60195,1.68157
16,54.8215,24.5328,79.3543,8.83114,6.42645,15.2576,5.20097,5.20097,0.690845,0.309155,3.59306,1.60791
17,54.3933,24.2181,78.6114,8.7229,6.40503,15.1279,5.19644,5.19644,0.691926,0.308074,3.59555,1.60088
18,59.5897,26.0892,85.6789,11.494,8.82227,20.3163,4.21726,4.21726,0.6955,0.3045,2.9331,1.28416
19,60.0394,26.112,86.1515,11.6541,8.72564,20.3797,4.22732,4.22732,0.696905,0.303095,2.94604,1.28128
20,60.0771,26.0818,86.1589,11.7643,8.70206,20.4664,4.20978,4.20978,0.697283,0.302717,2.93541,1.27437
21,60.5649,26.2559,86.8208,11.892,9.23781,21.1298,4.10892,4.10892,0.697585,0.302415,2.86632,1.2426
22,60.7422,26.3527,87.0949,11.9567,8.80322,20.7599,4.19534,4.19534,0.697426,0.302574,2.92594,1.2694
23,59.8639,26.1013,85.9651,11.5748,8.7931,20.3679,4.22063,4.22063,0.696374,0.303626,2.93913,1.28149
24,59.8052,26.0921,85.8973,11.6658,9.2708,20.9366,4.10274,4.10274,0.696241,0.303759,2.85649,1.24625
25,62.639,27.2305,89.8695,12.0062,9.11308,21.1193,4.25533,4.25533,0.696999,0.303001,2.96597,1.28937
26,64.3436,27.4323,91.7759,12.512,9.67047,22.1825,4.13732,4.13732,0.701095,0.298905,2.90065,1.23667
27,63.9943,27.5152,91.5095,12.4586,8.93466,21.3932,4.2775,4.2775,0.699319,0.300681,2.99134,1.28616
28,62.5886,27.2333,89.8219,12.5373,9.64205,22.1794,4.04979,4.04979,0.696808,0.303192,2.82193,1.22787
29,62.3635,26.8841,89.2476,12.5233,9.82204,22.3454,3.99401,3.99401,0.69877,0.30123,2.79089,1.20312
30,62.0038,27.151,89.1548,12.0973,9.6333,21.7306,4.10274,4.10274,0.695463,0.304537,2.8533,1.24944
31,61.0505,26.5996,87.6501,12.3057,8.97746,21.2832,4.11827,4.11827,0.696525,0.303475,2.86848,1.24979
32,62.0876,26.5337,88.6214,12.3404,9.42445,21.7648,4.07177,4.07177,0.700594,0.299406,2.85266,1.21911
33,62.2842,26.6473,88.9315,12.6349,9.63246,22.2674,3.99381,3.99381,0.700361,0.299639,2.79711,1.1967
34,62.8378,27.5472,90.385,12.687,10.2799,22.967,3.93544,3.93544,0.695224,0.304776,2.73601,1.19943
35,62.8216,27.621,90.4426,12.7296,10.3253,23.0548,3.92294,3.92294,0.694602,0.305398,2.72488,1.19806
36,62.0681,26.8662,88.9343,12.38,9.82477,22.2048,4.00519,4.00519,0.697909,0.302091,2.79526,1.20993
37,61.8962,26.7774,88.6736,12.3867,9.82401,22.2107,3.99239,3.99239,0.698023,0.301977,2.78678,1.20561
38,61.845,26.747,88.5919,12.3848,9.82243,22.2072,3.98933,3.98933,0.698088,0.301912,2.78491,1.20443
39,61.8192,26.7808,88.6,12.323,9.14576,21.4688,4.12693,4.12693,0.697734,0.302266,2.8795,1.24743
40,61.7607,26.7511,88.5119,12.1895,9.09506,21.2846,4.1585,4.1585,0.697768,0.302232,2.90167,1.25683
41,61.7607,26.7511,88.5117,12.1804,9.08852,21.2689,4.16156,4.16156,0.697768,0.302232,2.9038,1.25776
