step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,36.5897,33.8544,70.4441,5.75722,2.76073,8.51795,8.27008,8.27008,0.519414,0.480586,4.2956,3.97448
2,2.08963,5.15648,7.24611,2.8432,0.832169,3.67537,1.97153,1.97153,0.28838,0.71162,0.568549,1.40298
3,2.2033,2.10769,4.31099,2.35219,0.35636,2.70855,1.59162,1.59162,0.511088,0.488912,0.81346,0.778164
4,2.16264,0.941845,3.10449,1.73208,0.401513,2.13359,1.45505,1.45505,0.696618,0.303382,1.01362,0.441437
5,2.05267,0.573327,2.62599,1.56867,0.345817,1.91449,1.37164,1.37164,0.781673,0.218327,1.07218,0.299467
6,1.89979,0.341381,2.24117,1.36599,0.364218,1.73021,1.29532,1.29532,0.847678,0.152322,1.09801,0.197306
7,1.77019,0.26816,2.03835,1.36759,0.356027,1.72361,1.1826,1.1826,0.868442,0.131558,1.02702,0.15558
8,1.77162,0.227666,1.99929,1.366,0.354425,1.72043,1.16209,1.16209,0.886126,0.113874,1.02976,0.132331
9,1.79509,0.214174,2.00926,1.17516,0.411132,1.58629,1.26665,1.26665,0.893407,0.106593,1.13163,0.135016
10,1.62603,0.22725,1.85328,1.17457,0.411283,1.58585,1.16864,1.16864,0.87738,0.12262,1.02534,0.143298
11,1.58494,0.238159,1.8231,1.17356,0.411308,1.58487,1.15032,1.15032,0.869366,0.130634,1.00005,0.150271
12,1.53588,0.242196,1.77808,0.966342,0.445933,1.41228,1.25902,1.25902,0.863788,0.136212,1.08752,0.171493
13,1.31642,0.292581,1.609,0.966938,0.445779,1.41272,1.13894,1.13894,0.818159,0.181841,0.931834,0.207105
14,1.2874,0.304769,1.59217,0.966342,0.445933,1.41228,1.12738,1.12738,0.808583,0.191417,0.911579,0.2158
15,1.2911,0.306531,1.59763,0.966299,0.446648,1.41295,1.13071,1.13071,0.808134,0.191866,0.913766,0.216944
16,1.28755,0.306779,1.59433,0.967296,0.446626,1.41392,1.1276,1.1276,0.807582,0.192418,0.910626,0.21697
17,1.28897,0.305169,1.59414,0.967895,0.446471,1.41437,1.1271,1.1271,0.808568,0.191432,0.911338,0.215763
18,1.29018,0.305378,1.59555,0.9673,0.446625,1.41393,1.12846,1.12846,0.808607,0.191393,0.912478,0.215979
19,1.28544,0.305633,1.59108,0.965342,0.445955,1.4113,1.12739,1.12739,0.807908,0.192092,0.910825,0.216562
20,1.28687,0.306181,1.59305,0.966339,0.445934,1.41227,1.12801,1.12801,0.807802,0.192198,0.911206,0.2168
21,1.2921,0.306657,1.59876,0.967895,0.446471,1.41437,1.13037,1.13037,0.80819,0.19181,0.913556,0.216816
22,1.29119,0.307064,1.59825,0.9673,0.446625,1.41393,1.13037,1.13037,0.807875,0.192125,0.913196,0.217172
23,1.28812,0.306599,1.59472,0.966302,0.446647,1.41295,1.12865,1.12865,0.807741,0.192259,0.911653,0.216992
24,1.28707,0.305951,1.59302,0.967296,0.446626,1.41392,1.12667,1.12667,0.807943,0.192057,0.910285,0.216385
25,1.28648,0.304798,1.59128,0.966935,0.445779,1.41271,1.1264,1.1264,0.808458,0.191542,0.910646,0.215753
26,1.29008,0.305996,1.59607,0.966342,0.445933,1.41228,1.13014,1.13014,0.808282,0.191718,0.913474,0.216669
27,1.29108,0.307752,1.59883,0.966302,0.446647,1.41295,1.13156,1.13156,0.807515,0.192485,0.913749,0.217808
28,1.28798,0.307422,1.5954,0.967296,0.446626,1.41392,1.12835,1.12835,0.807308,0.192692,0.910928,0.217425
29,1.28911,0.30562,1.59473,0.967892,0.446472,1.41436,1.12752,1.12752,0.808356,0.191644,0.911439,0.216083
30,1.29027,0.305672,1.59594,0.9673,0.446625,1.41393,1.12873,1.12873,0.808469,0.191531,0.912545,0.216187
31,1.28546,0.305829,1.59129,0.965345,0.445955,1.4113,1.12754,1.12754,0.807811,0.192189,0.910837,0.2167
32,1.28686,0.30631,1.59317,0.966342,0.445933,1.41228,1.12809,1.12809,0.807735,0.192265,0.911195,0.216891
33,1.29207,0.306741,1.59881,0.967892,0.446472,1.41436,1.13041,1.13041,0.808144,0.191856,0.913535,0.216876
34,1.29118,0.307122,1.59831,0.967296,0.446626,1.41392,1.13041,1.13041,0.807845,0.192155,0.913194,0.217213
35,1.28812,0.30664,1.59476,0.966302,0.446647,1.41295,1.12867,1.12867,0.80772,0.19228,0.91165,0.217021
36,1.28705,0.305979,1.59303,0.9673,0.446625,1.41393,1.12667,1.12667,0.807927,0.192073,0.910269,0.216404
