step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,61.8695,33.3841,95.2536,8.89785,4.55228,13.4501,7.08198,7.08198,0.649524,0.350476,4.59992,2.48206
2,57.0612,30.3777,87.4388,7.96088,3.87576,11.8366,7.38713,7.38713,0.652584,0.347416,4.82072,2.56641
3,57.9859,30.2803,88.2662,9.62262,6.55114,16.1738,5.45737,5.45737,0.656944,0.343056,3.58519,1.87219
4,58.9725,29.5774,88.55,8.2555,5.53083,13.7863,6.42303,6.42303,0.66598,0.33402,4.27761,2.14542
5,62.2715,30.8223,93.0938,5.44925,6.10619,11.5554,8.05628,8.05628,0.668911,0.331089,5.38893,2.66734
6,63.2443,30.9641,94.2084,7.40335,6.38491,13.7883,6.83251,6.83251,0.671324,0.328676,4.58682,2.24568
7,70.0891,34.0595,104.149,6.05448,6.38829,12.4428,8.37021,8.37021,0.672972,0.327028,5.63292,2.73729
8,73.9098,36.0125,109.922,10.83,6.90553,17.7355,6.19788,6.19788,0.672382,0.327618,4.16734,2.03054
9,70.3607,34.281,104.642,9.18709,6.39827,15.5854,6.7141,6.7141,0.672397,0.327603,4.51454,2.19956
10,74.2321,36.273,110.505,11.3006,7.34677,18.6473,5.92606,5.92606,0.671753,0.328247,3.98085,1.94521
11,71.8202,35.1858,107.006,10.7121,6.57879,17.2909,6.18858,6.18858,0.671179,0.328821,4.15364,2.03493
12,73.6418,35.2832,108.925,9.44649,5.97526,15.4217,7.06308,7.06308,0.676078,0.323922,4.77519,2.28788
13,71.1603,34.2448,105.405,9.7272,6.78024,16.5074,6.38531,6.38531,0.675112,0.324888,4.3108,2.07451
14,74.5213,36.9687,111.49,10.2093,6.48419,16.6935,6.67864,6.67864,0.668413,0.331587,4.46408,2.21455
15,79.5846,40.2708,119.855,10.1681,8.62284,18.791,6.37836,6.37836,0.664005,0.335995,4.23526,2.1431
