step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,58.0383,35.6796,93.7179,11.1676,7.71057,18.8781,4.96436,4.96436,0.619288,0.380712,3.07437,1.88999
2,8.54813,3.95064,12.4988,3.94098,0.901354,4.84234,2.58114,2.58114,0.683918,0.316082,1.76529,0.815854
3,8.25296,3.19642,11.4494,3.6634,0.791844,4.45524,2.56987,2.56987,0.720821,0.279179,1.85242,0.717453
4,8.21257,3.02983,11.2424,3.72315,0.843825,4.56698,2.46167,2.46167,0.7305,0.2695,1.79825,0.663421
5,8.30434,2.99391,11.2983,3.73646,0.833633,4.57009,2.47222,2.47222,0.735011,0.264989,1.81711,0.655109
6,8.39123,2.98326,11.3745,3.74336,0.835863,4.57922,2.48394,2.48394,0.737723,0.262277,1.83246,0.651478
7,8.42841,2.97075,11.3992,3.73773,0.835371,4.5731,2.49265,2.49265,0.739389,0.260611,1.84304,0.649614
8,8.45274,2.96876,11.4215,3.7342,0.837313,4.57151,2.49841,2.49841,0.740073,0.259927,1.849,0.649405
9,8.46868,2.96663,11.4353,3.73454,0.837081,4.57163,2.50137,2.50137,0.740573,0.259427,1.85244,0.648922
10,8.47395,2.96607,11.44,3.73454,0.837081,4.57163,2.5024,2.5024,0.740729,0.259271,1.8536,0.6488
11,8.4773,2.96585,11.4431,3.73454,0.837081,4.57163,2.50308,2.50308,0.740819,0.259181,1.85433,0.648751
12,8.47921,2.96576,11.445,3.73454,0.837081,4.57163,2.50348,2.50348,0.740868,0.259132,1.85475,0.648732
13,8.48036,2.96573,11.4461,3.73448,0.83716,4.57164,2.50372,2.50372,0.740896,0.259104,1.85499,0.648723
14,8.48104,2.96571,11.4467,3.73448,0.83716,4.57164,2.50386,2.50386,0.740912,0.259088,1.85514,0.64872
15,8.48145,2.9657,11.4472,3.73448,0.83716,4.57164,2.50395,2.50395,0.740922,0.259078,1.85523,0.648718
16,8.4817,2.9657,11.4474,3.73448,0.83716,4.57164,2.504,2.504,0.740928,0.259072,1.85529,0.648718
17,8.48185,2.9657,11.4476,3.73448,0.83716,4.57164,2.50404,2.50404,0.740931,0.259069,1.85532,0.648717
18,8.48195,2.9657,11.4477,3.73448,0.83716,4.57164,2.50406,2.50406,0.740934,0.259066,1.85534,0.648717
19,8.48201,2.9657,11.4477,3.73448,0.83716,4.57164,2.50407,2.50407,0.740935,0.259065,1.85536,0.648717
20,8.48205,2.9657,11.4478,3.73448,0.83716,4.57164,2.50408,2.50408,0.740936,0.259064,1.85536,0.648717
