step,polarization,modularity,poa,dS,C_out,dL,deltacon,n_comm,max_comm_share,ari_camp,in_gini,parse_fail,Q_rand_mean,Q_rand_sd,Q_norm,z_Q,swap_fail
1,0.18593708857807914,0.40448313342613607,4.232089932132516,,,,,3,0.46,0.6002877820986697,0.55552,0,0.21875774680116705,0.009968924170375865,0.2034023950725577,20.40364552847117,0
2,0.39894367896426997,0.5380989054587038,4.429431060799213,0.732,0.26799999999999996,0.5228310379789634,0.18433235809836346,4,0.36,0.45419359687359084,0.50864,0,0.25130283087119887,0.013790778467061466,0.28830136059184575,20.905372476284647,0
3,0.4463807273091715,0.5245428409840701,4.228110492306423,0.224,0.7759999999999999,0.2652563506435478,0.2848509012117995,4,0.34,0.5283993276932178,0.44032,0,0.2619674333113394,0.01261376615820566,0.2625754076727307,20.816574873787154,0
4,0.465750259812131,0.5483283759666866,3.0233110215054335,0.116,0.884,0.1595396483710762,0.37149442508876085,5,0.34,0.3944295036954845,0.39728,0,0.2600588935157644,0.010732424500953042,0.2882694824509222,26.85967950907307,0
5,0.46984788147319734,0.5483531026369963,4.067045671899594,0.164,0.836,0.1508579854145747,0.32390533834030355,4,0.38,0.4150046413298349,0.3824,0,0.2629123370257818,0.011016045420129765,0.2847423046760121,25.84796029941005,0
6,0.48350728146631566,0.5517421691664116,3.9794338959788065,0.092,0.9080000000000001,0.12612144005270737,0.3994934339803644,4,0.34,0.35075521039489377,0.34816,0,0.27420735129068463,0.01086043111937697,0.27368317008468523,25.200028164294974,0
7,0.48703633895211895,0.5568204097637486,4.02063082983094,0.104,0.8959999999999999,0.15708842469411358,0.39696649724204885,5,0.34,0.3960061101355972,0.31584,0,0.2733083766297422,0.012757321342479339,0.28351203313400636,22.223476662766796,0
8,0.496695054871658,0.5626469641840549,4.341456586803178,0.096,0.904,0.14639177818042268,0.3538822498695794,4,0.38,0.5746419430996874,0.32384,0,0.2714481077201059,0.016871613994775256,0.2914216232271479,17.27289536836217,0
9,0.5001143250102501,0.5512487058407616,4.0683415389927955,0.064,0.9359999999999999,0.15563094215582093,0.4018659611602047,5,0.36,0.44392365214775337,0.3144,0,0.26721610565389764,0.01144628642001343,0.2771135829903285,24.20991165360017,0
10,0.5089171412886521,0.54905508121616,4.140418848610714,0.092,0.9079999999999999,0.20880490829182513,0.3591161179717714,5,0.38,0.45881691018395054,0.30656,0,0.27320127030404,0.014085747208223722,0.27476051645147853,19.506279105382802,0
11,0.5058908981011634,0.5544719008477416,3.460860463279468,0.064,0.9359999999999999,0.11424290271942451,0.3799429422161972,6,0.24,0.30791146647439743,0.31616,0,0.27008297044499985,0.015501939413291919,0.2843889304027416,18.34537749250241,0
12,0.5104171087117028,0.5475920533896776,3.4377193035019125,0.028,0.9719999999999999,0.07513408572182616,0.5570938062486277,4,0.32,0.33914408792624506,0.31472,0,0.27189569429771443,0.01741293960092604,0.2733000077301657,15.695225159778955,0
