step,polarization,modularity,poa,dS,C_out,dL,deltacon,n_comm,max_comm_share,ari_camp,in_gini,parse_fail,Q_rand_mean,Q_rand_sd,Q_norm,z_Q,swap_fail
1,0.16747783630755073,0.3745076545778835,3.686410070340529,,,,,3,0.4,0.44724731640630755,0.56112,0,0.2159255164982164,0.010891502315854455,0.1598083568668252,14.67275608381377,0
2,0.3626150739297742,0.5669574533210897,4.705403227203755,0.844,0.15600000000000003,0.6451965929315809,0.15084230918996902,5,0.34,0.3735377850438313,0.42304,0,0.26331624324048564,0.01215903494444964,0.29943245587184986,24.626334017448883,0
3,0.42348777243645075,0.56387902695595,3.4674178514756466,0.264,0.736,0.22712373493241772,0.2591138492757407,5,0.3,0.3629745189807592,0.4,0,0.27165285996055233,0.010515311995197342,0.2922261669953977,27.79053699299328,0
4,0.4619664923997955,0.5777912339921153,3.808680567453622,0.216,0.784,0.15991989747567031,0.3308489545655654,6,0.24,0.29792815821337276,0.39984,0,0.26914762039733053,0.009702029550744076,0.30864361359478476,31.812273089924158,0
5,0.4909348913407725,0.5863378882654569,3.8498687219291745,0.148,0.8519999999999999,0.1761059089126404,0.3376914200827653,5,0.24,0.2605809418695159,0.36864,0,0.27762423152299387,0.014840284945746735,0.3080559209643212,20.75808666009549,0
6,0.5040102432873769,0.5859620392493758,4.085749536617858,0.064,0.9359999999999999,0.19060373062743177,0.4083434403650391,6,0.24,0.2945997798903757,0.32736,0,0.2742053477945717,0.010886821325846927,0.3145755590754114,28.89507870663427,0
7,0.5116926548665558,0.5684349030470914,4.254883443268674,0.08,0.92,0.19810924363284832,0.3605986059577714,5,0.26,0.24598364158788955,0.30624,0,0.27416135734072017,0.01054867092844748,0.29657271468144036,28.114699633073965,0
8,0.5183942128650496,0.572174515235457,4.234475515750679,0.056,0.944,0.17079750854150275,0.4644148917710133,5,0.28,0.26577307839100356,0.29568,0,0.2803019390581718,0.010571941140957976,0.2969418282548476,28.087729991650356,0
9,0.5230659170049435,0.5784998868266183,4.244350394504924,0.048,0.9519999999999998,0.11247358108249426,0.5284717730142308,5,0.26,0.29208071153448145,0.29392,0,0.2845801267541874,0.013745777723533813,0.29301437301946576,21.316682032316216,0
10,0.5175210482733802,0.5828634039444851,4.771818912023615,0.056,0.944,0.10171008061627906,0.39009318649417296,5,0.26,0.29208071153448145,0.2736,0,0.2897896274653031,0.014632651672407645,0.2942132943754566,20.10662872063345,0
11,0.5182004751493878,0.5839981500751532,4.856677317366957,0.024,0.976,0.052001457059860645,0.781793765659612,5,0.26,0.29208071153448145,0.2784,0,0.28175222569083125,0.01244270093981206,0.2982425713955371,23.969279084838462,0
12,0.5201508920777433,0.5977689892525059,5.257556818031188,0.064,0.9359999999999999,0.14116842475566724,0.42283281648929094,5,0.32,0.24948205394162998,0.29264,0,0.28998611278831066,0.011286289728760845,0.3017449583383648,26.73553183464964,0
13,0.522879382916765,0.5844901937618148,5.203707900185001,0.068,0.932,0.1319176913927045,0.40578276261236174,5,0.28,0.24761277576555812,0.27856,0,0.2768534380907372,0.011365880927135613,0.30763675567107757,27.066688243812795,0
14,0.5234135454967018,0.5888500701722954,5.084838802220016,0.036,0.964,0.11016999321989654,0.5194039452786343,5,0.26,0.24598364158788955,0.28752,0,0.2855751142166084,0.016310817974396215,0.30570859088058755,18.742689137998557,0
15,0.5235328100110117,0.5917267249527409,5.152066843282044,0.024,0.976,0.1058273882336777,0.7258745902275149,5,0.26,0.23614060173413823,0.29888,0,0.28412319825141774,0.013097167588181533,0.3076035267013232,23.486263318405943,0
