step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,64.748,37.763,102.511,10.0345,3.88316,13.9176,7.36555,7.36555,0.63162,0.36838,4.65223,2.71332
2,36.0514,16.7118,52.7632,4.6349,2.34237,6.97727,7.56216,7.56216,0.683268,0.316732,5.16698,2.39518
3,41.5312,17.9219,59.4531,6.24646,2.56581,8.81228,6.74662,6.74662,0.698554,0.301446,4.71288,2.03374
4,42.9403,18.0529,60.9932,6.45456,2.83894,9.2935,6.56299,6.56299,0.704018,0.295982,4.62047,1.94253
5,43.4093,17.984,61.3933,6.17728,2.51989,8.69718,7.05899,7.05899,0.707069,0.292931,4.99119,2.0678
6,42.9562,18.1172,61.0734,6.26238,2.92711,9.18949,6.64601,6.64601,0.703354,0.296646,4.6745,1.97152
7,42.7462,17.9967,60.7429,6.29696,2.96153,9.2585,6.56077,6.56077,0.703723,0.296277,4.61697,1.9438
8,43.0929,17.8254,60.9183,5.96095,2.41626,8.37721,7.2719,7.2719,0.707388,0.292612,5.14406,2.12785
9,43.0477,17.9401,60.9878,5.46514,2.65966,8.1248,7.50638,7.50638,0.705841,0.294159,5.29831,2.20807
10,42.9414,17.9756,60.917,5.46749,2.65833,8.12582,7.49673,7.49673,0.704917,0.295083,5.28457,2.21216
11,42.9266,17.9476,60.8742,5.46749,2.65833,8.12582,7.49145,7.49145,0.705169,0.294831,5.28274,2.20871
12,42.912,17.9513,60.8633,5.46749,2.65833,8.12582,7.49012,7.49012,0.705055,0.294945,5.28094,2.20917
13,41.2544,17.2278,58.4822,5.46683,2.59139,8.05822,7.25746,7.25746,0.705418,0.294582,5.11954,2.13792
14,40.5136,16.8992,57.4129,5.47578,2.68218,8.15796,7.03765,7.03765,0.705654,0.294346,4.96614,2.0715
15,40.2542,16.8018,57.0561,5.45318,2.6788,8.13197,7.01626,7.01626,0.705521,0.294479,4.95012,2.06614
16,38.8339,16.1498,54.9837,6.49466,2.71218,9.20684,5.97205,5.97205,0.706281,0.293719,4.21794,1.7541
17,38.5291,16.238,54.7671,6.58923,2.6046,9.19383,5.95694,5.95694,0.703508,0.296492,4.19076,1.76618
18,38.7671,16.2182,54.9853,6.408,2.91899,9.32698,5.89529,5.89529,0.705044,0.294956,4.15644,1.73885
19,38.5964,16.1751,54.7715,6.14567,2.30843,8.45411,6.47869,6.47869,0.70468,0.29532,4.5654,1.91329
20,38.1605,15.9679,54.1284,6.36016,2.75672,9.11687,5.93717,5.93717,0.704999,0.295001,4.1857,1.75147
21,37.8435,16.0153,53.8588,6.51413,2.8304,9.34453,5.76367,5.76367,0.702642,0.297358,4.0498,1.71387
