step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,66.7674,34.3612,101.129,10.7362,4.28244,15.0187,6.73353,6.73353,0.660223,0.339777,4.44563,2.2879
2,51.4766,20.9794,72.456,9.30898,5.58154,14.8905,4.86591,4.86591,0.710453,0.289547,3.457,1.40891
3,42.5041,17.6616,60.1657,7.12727,3.53257,10.6598,5.64415,5.64415,0.70645,0.29355,3.98731,1.65684
4,40.4898,17.0827,57.5725,6.39591,4.10048,10.4964,5.48498,5.48498,0.703284,0.296716,3.8575,1.62748
5,38.2526,16.1934,54.4459,5.73178,3.79645,9.52823,5.71417,5.71417,0.702579,0.297421,4.01466,1.69951
6,38.9533,16.2744,55.2277,6.09812,3.1173,9.21543,5.99296,5.99296,0.705322,0.294678,4.22697,1.76599
7,51.8075,20.1374,71.945,10.1791,7.86623,18.0453,3.9869,3.9869,0.720099,0.279901,2.87096,1.11594
8,51.4626,19.5858,71.0485,9.08412,5.02636,14.1105,5.03516,5.03516,0.724331,0.275669,3.64712,1.38803
9,51.5479,19.6226,71.1705,8.90136,4.93245,13.8338,5.14468,5.14468,0.724287,0.275713,3.72623,1.41846
10,52.878,20.1639,73.0419,8.7705,5.45522,14.2257,5.1345,5.1345,0.723941,0.276059,3.71707,1.41742
11,51.6482,19.6286,71.2767,10.4847,7.57465,18.0594,3.9468,3.9468,0.724614,0.275386,2.85991,1.08689
12,52.1865,19.7415,71.9279,8.69473,5.00958,13.7043,5.24857,5.24857,0.725538,0.274462,3.80803,1.44053
13,52.4333,19.7551,72.1884,8.00823,5.38536,13.3936,5.38977,5.38977,0.72634,0.27366,3.91481,1.47496
14,52.2407,19.6288,71.8695,8.05207,4.84396,12.896,5.57299,5.57299,0.726882,0.273118,4.05091,1.52208
15,52.4214,19.6282,72.0497,7.79914,5.69345,13.4926,5.33994,5.33994,0.727573,0.272427,3.8852,1.45474
16,52.7393,19.7675,72.5068,7.64485,4.80417,12.449,5.8243,5.8243,0.727371,0.272629,4.23642,1.58787
17,52.197,19.7237,71.9208,7.51896,4.77326,12.2922,5.85092,5.85092,0.725758,0.274242,4.24635,1.60457
18,51.7649,19.618,71.3829,7.57544,4.62808,12.2035,5.84937,5.84937,0.725173,0.274827,4.24181,1.60757
19,51.8389,19.586,71.4249,7.97439,5.53087,13.5053,5.28867,5.28867,0.725782,0.274218,3.83842,1.45025
20,52.0453,19.6059,71.6512,7.53133,5.80245,13.3338,5.37366,5.37366,0.72637,0.27363,3.90327,1.47039
21,52.413,19.6326,72.0456,7.84427,5.29063,13.1349,5.48505,5.48505,0.727498,0.272502,3.99036,1.49469
22,52.0384,19.5948,71.6332,7.42317,4.70326,12.1264,5.90719,5.90719,0.726456,0.273544,4.29132,1.61588
23,51.7382,19.6302,71.3684,7.35948,4.57461,11.9341,5.98022,5.98022,0.724945,0.275055,4.33533,1.64489
24,51.7528,19.57,71.3228,8.25743,5.3767,13.6341,5.23119,5.23119,0.725614,0.274386,3.79582,1.43537
25,51.526,19.5356,71.0615,8.29737,5.43385,13.7312,5.17518,5.17518,0.725089,0.274911,3.75247,1.42271
26,51.6344,19.5538,71.1882,8.2473,5.39093,13.6382,5.21975,5.21975,0.725322,0.274678,3.786,1.43375
27,51.9475,19.5099,71.4574,8.16003,5.5586,13.7186,5.20879,5.20879,0.726972,0.273028,3.78664,1.42214
28,52.0259,19.5119,71.5378,8.85079,5.51849,14.3693,4.97853,4.97853,0.727251,0.272749,3.62064,1.35789
29,51.8823,19.4959,71.3783,8.3992,5.54531,13.9445,5.11874,5.11874,0.726865,0.273135,3.72063,1.39811
30,51.9441,19.5308,71.4749,8.14829,5.70991,13.8582,5.15759,5.15759,0.726746,0.273254,3.74826,1.40933
31,51.9536,19.5362,71.4897,8.39777,5.69396,14.0917,5.07317,5.07317,0.726728,0.273272,3.68681,1.38636
32,51.9341,19.5336,71.4677,8.39777,5.69396,14.0917,5.0716,5.0716,0.72668,0.27332,3.68543,1.38617
33,51.9603,19.5612,71.5215,8.65556,5.76216,14.4177,4.96066,4.96066,0.726499,0.273501,3.60392,1.35675
34,51.9639,19.5845,71.5483,8.65207,5.77868,14.4308,4.95804,4.95804,0.726276,0.273724,3.60091,1.35713
35,52.0544,19.6706,71.725,8.7673,5.85784,14.6251,4.90423,4.90423,0.72575,0.27425,3.55924,1.34499
36,52.4832,19.6247,72.1079,9.18392,5.54997,14.7339,4.89401,4.89401,0.727843,0.272157,3.56207,1.33194
37,52.1121,19.5879,71.7,9.02674,5.65706,14.6838,4.88293,4.88293,0.726807,0.273193,3.54895,1.33398
38,52.1915,19.5496,71.7411,8.35508,5.661,14.0161,5.11848,5.11848,0.727498,0.272502,3.72369,1.3948
39,52.2138,19.5175,71.7313,8.60308,5.62435,14.2274,5.04176,5.04176,0.727909,0.272091,3.66994,1.37182
40,52.2047,19.5104,71.7151,8.73121,5.6042,14.3354,5.00266,5.00266,0.727946,0.272054,3.64166,1.36099
41,51.9255,19.4705,71.396,8.10952,5.64136,13.7509,5.1921,5.1921,0.727289,0.272711,3.77616,1.41594
42,52.0374,19.4859,71.5233,7.90566,5.77855,13.6842,5.2267,5.2267,0.727559,0.272441,3.80273,1.42397
