step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,76.8874,38.7954,115.683,9.97874,5.56265,15.5414,7.44353,7.44353,0.66464,0.33536,4.94726,2.49626
2,31.1363,13.4345,44.5708,8.75225,4.02725,12.7795,3.48768,3.48768,0.698581,0.301419,2.43643,1.05125
3,30.9011,12.4682,43.3693,6.24064,3.29867,9.53931,4.54638,4.54638,0.712511,0.287489,3.23935,1.30703
4,30.255,12.3762,42.6312,5.68882,3.06344,8.75227,4.87088,4.87088,0.709691,0.290309,3.45682,1.41406
5,31.0342,12.368,43.4022,6.01015,3.13027,9.14043,4.74837,4.74837,0.715038,0.284962,3.39527,1.3531
6,39.0089,15.2261,54.235,6.81074,3.60998,10.4207,5.20454,5.20454,0.719257,0.280743,3.7434,1.46114
7,38.1083,14.7558,52.8641,6.99275,3.34101,10.3338,5.11567,5.11567,0.720873,0.279127,3.68775,1.42792
8,43.7131,16.662,60.3751,10.888,6.38889,17.2769,3.49457,3.49457,0.724025,0.275975,2.53015,0.964415
9,44.1617,16.8891,61.0508,9.26541,4.2914,13.5568,4.50333,4.50333,0.72336,0.27664,3.25753,1.2458
10,45.3897,17.6898,63.0794,9.727,4.89538,14.6224,4.3139,4.3139,0.719564,0.280436,3.10412,1.20977
11,46.3709,17.7601,64.1309,11.547,7.14572,18.6928,3.43079,3.43079,0.723066,0.276934,2.48068,0.950103
12,46.3965,17.8766,64.2731,11.5139,7.2793,18.7932,3.42002,3.42002,0.721865,0.278135,2.46879,0.951227
13,46.628,17.9657,64.5937,11.5139,7.2793,18.7932,3.43707,3.43707,0.721866,0.278134,2.48111,0.955966
14,46.3821,17.8781,64.2603,11.5139,7.2793,18.7932,3.41933,3.41933,0.721785,0.278215,2.46803,0.951309
15,46.8361,18.0151,64.8512,11.4147,7.43416,18.8489,3.44059,3.44059,0.722209,0.277791,2.48482,0.955765
16,46.5338,17.7893,64.3231,11.2773,7.10875,18.3861,3.49847,3.49847,0.723438,0.276562,2.53093,0.967544
17,46.619,17.6798,64.2988,9.87225,5.06885,14.9411,4.30349,4.30349,0.725037,0.274963,3.12019,1.1833
18,46.6967,17.6904,64.3871,9.87352,5.0662,14.9397,4.30979,4.30979,0.725249,0.274751,3.12567,1.18412
19,48.2091,18.1093,66.3184,11.4533,6.90462,18.3579,3.61253,3.61253,0.726934,0.273066,2.62607,0.986458
20,48.4259,18.1788,66.6047,11.6136,7.28108,18.8947,3.52504,3.52504,0.727064,0.272936,2.56293,0.962112
21,47.0935,17.7383,64.8318,10.9214,6.03333,16.9547,3.82381,3.82381,0.726395,0.273605,2.7776,1.04621
22,47.0264,17.7126,64.739,10.7642,5.99308,16.7573,3.86333,3.86333,0.7264,0.2736,2.80632,1.05701
23,46.3483,17.535,63.8833,10.1097,5.9578,16.0675,3.97593,3.97593,0.725516,0.274484,2.8846,1.09133
