step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,66.9448,40.8075,107.752,14.6823,10.6792,25.3615,4.24866,4.24866,0.621284,0.378716,2.63963,1.60904
2,28.9186,16.5928,45.5114,9.32206,4.66201,13.9841,3.25452,3.25452,0.635414,0.364586,2.06797,1.18655
3,34.5243,18.2895,52.8138,10.5959,5.04178,15.6377,3.37734,3.37734,0.653699,0.346301,2.20776,1.16958
4,34.1777,17.8618,52.0395,9.89881,4.64715,14.546,3.57759,3.57759,0.656764,0.343236,2.34963,1.22796
5,32.7213,17.5036,50.2249,8.85767,4.86078,13.7184,3.66112,3.66112,0.651495,0.348505,2.3852,1.27592
6,34.9842,18.2336,53.2178,8.71739,3.26097,11.9784,4.44283,4.44283,0.657377,0.342623,2.92061,1.52221
7,53.7601,28.6726,82.4327,10.4407,4.69217,15.1329,5.44726,5.44726,0.652169,0.347831,3.55253,1.89472
8,57.8354,31.0441,88.8795,10.2597,5.2692,15.5289,5.72348,5.72348,0.650717,0.349283,3.72436,1.99911
9,57.4385,31.5096,88.9481,9.11308,4.09846,13.2115,6.73261,6.73261,0.645753,0.354247,4.3476,2.38501
10,58.2745,31.1448,89.4192,9.21129,3.93876,13.1501,6.79991,6.79991,0.651699,0.348301,4.4315,2.36841
11,57.6097,31.3377,88.9474,9.41079,4.24129,13.6521,6.5153,6.5153,0.647683,0.352317,4.21985,2.29545
12,59.7475,31.665,91.4125,10.1511,5.40172,15.5529,5.87754,5.87754,0.653603,0.346397,3.84158,2.03596
13,67.9741,36.3514,104.325,9.31047,5.25174,14.5622,7.16412,7.16412,0.651558,0.348442,4.66784,2.49628
14,68.6172,37.4211,106.038,12.5951,5.59657,18.1917,5.82895,5.82895,0.647098,0.352902,3.7719,2.05704
15,69.2416,37.4142,106.656,12.7868,5.67807,18.4649,5.77613,5.77613,0.649206,0.350794,3.7499,2.02623
16,67.2641,36.4797,103.744,12.7647,6.02561,18.7903,5.52113,5.52113,0.648368,0.351632,3.57972,1.94141
17,65.3935,35.508,100.901,11.4576,4.76353,16.2211,6.22037,6.22037,0.648093,0.351907,4.03138,2.18899
18,65.3074,35.4537,100.761,11.7482,4.89221,16.6404,6.0552,6.0552,0.648141,0.351859,3.92462,2.13058
19,66.4555,36.4103,102.866,12.7142,6.12487,18.8391,5.46023,5.46023,0.646041,0.353959,3.52753,1.9327
20,64.5344,35.4987,100.033,10.041,3.8781,13.9191,7.18676,7.18676,0.645131,0.354869,4.6364,2.55036
21,61.8468,34.1665,96.0133,9.11948,3.33951,12.459,7.70634,7.70634,0.644148,0.355852,4.96403,2.74232
22,62.5382,34.5155,97.0536,8.04993,2.99942,11.0494,8.78365,8.78365,0.644367,0.355633,5.65989,3.12375
23,65.0665,36.1975,101.264,11.8227,5.66581,17.4886,5.7903,5.7903,0.642543,0.357457,3.72052,2.06978
24,64.9947,36.178,101.173,11.8638,5.74392,17.6077,5.74593,5.74593,0.642414,0.357586,3.69127,2.05467
25,64.1827,35.7487,99.9314,11.8477,5.73444,17.5821,5.6837,5.6837,0.642268,0.357732,3.65046,2.03324
26,64.6924,36.0065,100.699,11.9218,5.77091,17.6927,5.69154,5.69154,0.642434,0.357566,3.65644,2.0351
27,64.7532,36.0016,100.755,11.5429,5.78434,17.3273,5.81481,5.81481,0.642681,0.357319,3.73707,2.07774
28,64.7641,36.0064,100.771,11.7473,5.78411,17.5314,5.74801,5.74801,0.642689,0.357311,3.69418,2.05383
29,64.765,36.0063,100.771,11.7657,5.79488,17.5606,5.73848,5.73848,0.642693,0.357307,3.68808,2.0504
30,64.7676,36.0045,100.772,11.7657,5.79488,17.5606,5.73853,5.73853,0.642714,0.357286,3.68823,2.0503
31,64.7551,35.9992,100.754,11.7387,5.78057,17.5193,5.75105,5.75105,0.642703,0.357297,3.69622,2.05483
32,64.8005,36.0137,100.814,11.7452,5.79428,17.5395,5.74783,5.74783,0.642772,0.357228,3.69455,2.05329
33,64.4047,35.8541,100.259,10.8786,7.40428,18.2829,5.48375,5.48375,0.642385,0.357615,3.52268,1.96108
34,64.6343,35.9449,100.579,10.8946,7.44663,18.3412,5.48377,5.48377,0.642621,0.357379,3.52399,1.95978
35,64.5534,35.9242,100.478,11.3337,7.26121,18.5949,5.40351,5.40351,0.642466,0.357534,3.47157,1.93194
36,64.2942,35.8466,100.141,10.9543,6.88186,17.8362,5.61447,5.61447,0.642038,0.357962,3.6047,2.00976
37,64.0468,35.7149,99.7617,10.1155,6.05484,16.1703,6.16944,6.16944,0.641998,0.358002,3.96077,2.20867
38,64.3648,35.7923,100.157,10.387,6.16864,16.5556,6.04974,6.04974,0.642639,0.357361,3.8878,2.16194
39,64.3081,35.7715,100.08,10.4399,6.16659,16.6065,6.02653,6.02653,0.642569,0.357431,3.87247,2.15407
40,64.3432,35.7951,100.138,10.2806,6.21518,16.4957,6.07055,6.07055,0.642544,0.357456,3.90059,2.16996
