step,polarization,modularity,poa,dS,C_out,dL,deltacon,n_comm,max_comm_share,ari_camp,in_gini,parse_fail,Q_rand_mean,Q_rand_sd,Q_norm,z_Q,swap_fail
1,0.28325701737145476,0.4356444444444444,4.078026984026936,,,,,4,0.46,0.5601318398628008,0.50864,0,0.23034222222222223,0.010789282121054213,0.20113432098765438,18.642048537702127,0
2,0.39781110142108317,0.4829676931292275,3.9585804024376507,0.7,0.3,0.45014642140540995,0.1903974789347597,3,0.4,0.5342529572728296,0.48624,0,0.24294121573513708,0.013369848448917273,0.2404714756140975,17.986103322926713,0
3,0.42649322505587206,0.49666846944294213,4.373079489001786,0.28,0.7200000000000002,0.23480443089436784,0.284010284496089,5,0.28,0.397555554958359,0.4336,0,0.25519848566792863,0.009064572668514658,0.22394699837750132,24.705742517280495,0
4,0.4407836813872031,0.5022482311710639,4.753885489303136,0.184,0.8159999999999998,0.17357122154874793,0.30487711948210416,4,0.3,0.4557009942962539,0.41296,0,0.25286704578015823,0.014199164095978411,0.24940322687297495,17.564641494890022,0
5,0.4578770129165385,0.5099929030928778,4.0581868431292625,0.124,0.8759999999999999,0.16168273468689665,0.3553973324332195,4,0.28,0.4145239936417923,0.37744,0,0.25820722968796495,0.009973533559513388,0.251785673404913,25.245382882854376,0
6,0.4469912500131435,0.5270140335615028,4.45251996253395,0.156,0.8439999999999999,0.14312593111954564,0.3444831841323497,5,0.26,0.3612263164543693,0.39584,0,0.26037636500995853,0.012157890258775101,0.26704974702960105,21.965138798391006,0
7,0.46781556969256094,0.5301473922902494,5.588210474540049,0.14,0.8599999999999999,0.1487543385402953,0.3116847614565237,4,0.26,0.44902277484415554,0.348,0,0.25742857142857145,0.011849045517667781,0.2843968253968254,24.00166536391216,0
8,0.4753382199934566,0.5329433849957648,5.418924355952381,0.084,0.9159999999999999,0.15784270209994206,0.37288502839148935,5,0.28,0.37116172814620707,0.34608,0,0.2578123211464939,0.009901757517393292,0.27075845333211235,27.344484335887014,0
9,0.48407352976881496,0.5152979066022545,5.078681091938594,0.104,0.8959999999999999,0.13851854883328743,0.4493123235343977,5,0.28,0.3777464220923201,0.33248,0,0.2610270951480782,0.011920068039613225,0.2533022941025461,21.250071162409668,0
10,0.4969920221641174,0.5236108542899408,5.005026963574805,0.068,0.932,0.12579362797392016,0.3807121381965241,4,0.28,0.38821046526614256,0.33872,0,0.2592617418639054,0.011530135653435355,0.2490130362426035,21.596713492994432,0
