step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,62.4032,43.648,106.051,13.0646,10.1278,23.1924,4.57267,4.57267,0.588426,0.411574,2.69067,1.88199
2,53.0766,39.7817,92.8584,12.1731,9.09167,21.2648,4.36676,4.36676,0.571587,0.428413,2.49598,1.87078
3,56.7761,40.7304,97.5065,11.9773,9.9989,21.9762,4.43691,4.43691,0.58228,0.41772,2.58352,1.85339
4,42.4781,34.5157,76.9938,8.05021,4.3414,12.3916,6.21338,6.21338,0.551708,0.448292,3.42797,2.78541
5,40.3892,32.4526,72.8417,6.69146,3.88465,10.5761,6.88738,6.88738,0.554479,0.445521,3.81891,3.06848
6,34.7342,28.6945,63.4287,5.94773,4.4039,10.3516,6.12742,6.12742,0.547611,0.452389,3.35544,2.77198
7,31.6669,26.7315,58.3984,6.51553,4.31253,10.8281,5.39325,5.39325,0.542257,0.457743,2.92452,2.46872
8,30.3844,26.2582,56.6426,6.47041,3.9293,10.3997,5.44656,5.44656,0.536422,0.463578,2.92166,2.5249
9,29.6892,25.0094,54.6986,6.68076,3.94906,10.6298,5.14576,5.14576,0.542778,0.457222,2.79301,2.35275
10,28.5433,24.7585,53.3018,6.17235,3.44338,9.61573,5.54319,5.54319,0.535503,0.464497,2.9684,2.5748
11,27.3364,23.8642,51.2005,6.41894,3.54672,9.96566,5.1377,5.1377,0.533908,0.466092,2.74306,2.39464
12,26.7808,23.6373,50.4181,6.67389,3.64308,10.317,4.88691,4.88691,0.531174,0.468826,2.5958,2.29111
13,26.5906,23.4515,50.0421,6.42978,3.78189,10.2117,4.90048,4.90048,0.531364,0.468636,2.60394,2.29654
14,26.8325,23.2915,50.1239,6.25824,3.56428,9.82252,5.10296,5.10296,0.535323,0.464677,2.73173,2.37123
15,26.5225,23.0735,49.596,6.12075,4.02679,10.1475,4.88749,4.88749,0.534771,0.465229,2.61369,2.2738
16,25.8752,22.8178,48.693,5.84336,4.0066,9.84996,4.94347,4.94347,0.531395,0.468605,2.62694,2.31653
17,27.132,23.3421,50.4741,7.5519,4.223,11.7749,4.28659,4.28659,0.537543,0.462457,2.30423,1.98236
18,26.945,23.3171,50.2622,6.74742,4.21625,10.9637,4.58443,4.58443,0.53609,0.46391,2.45766,2.12676
19,26.7727,23.2842,50.057,6.76388,4.19062,10.9545,4.56954,4.56954,0.534845,0.465155,2.44399,2.12554
20,26.8466,23.2877,50.1343,6.75083,4.2248,10.9756,4.56778,4.56778,0.535494,0.464506,2.44602,2.12176
