step,polarization,modularity,poa,dS,C_out,dL,deltacon,n_comm,max_comm_share,ari_camp,in_gini,parse_fail,Q_rand_mean,Q_rand_sd,Q_norm,z_Q,swap_fail
1,0.2318976768290523,0.4523988240445362,5.537652334889796,,,,,3,0.48,0.6837838669250698,0.53904,0,0.23658232730760403,0.007722852246599383,0.21581649673693215,27.9451800766955,0
2,0.28448646999889493,0.4722140392222877,4.471208097807232,0.592,0.40800000000000014,0.18359335180767763,0.22465717219686546,4,0.34,0.5168197441821153,0.48768,0,0.24085199057318413,0.012061103556310772,0.2313620486491036,19.182494169702014,0
3,0.26664664208548033,0.5243689405188225,6.744583749652422,0.252,0.7479999999999998,0.26300048994004743,0.2675601089769276,3,0.4,0.5342529572728296,0.49936,0,0.24761496637260896,0.011511620530780297,0.2811648397239933,24.424436070681963,0
4,0.2502941195657324,0.5301375044499822,7.015000654260396,0.252,0.7480000000000001,0.21182131380301866,0.29114689358037255,3,0.44,0.4918685588736676,0.50592,0,0.24887081701673192,0.010912726527772457,0.2812666874332503,25.774190044755333,0
5,0.24822345440786794,0.5163151927437641,7.191799668347386,0.176,0.824,0.1874556846381824,0.3282784162670501,3,0.42,0.5966630172042262,0.50288,0,0.2510413832199547,0.012957092632694968,0.26527380952380947,20.47325098644716,0
6,0.24326126632828388,0.5022518296115595,6.999334280380643,0.216,0.784,0.22750794854879638,0.30145416568541966,3,0.42,0.5900300666929047,0.516,0,0.24470820041283542,0.011945571766522596,0.25754362919872403,21.559757392315767,0
7,0.2547446161916168,0.49784593621399176,5.864968343742772,0.228,0.7719999999999999,0.17806931318820096,0.2937640472331061,3,0.4,0.5392671908984441,0.50672,0,0.24435495970507543,0.010316684862460975,0.25349097650891633,24.57097215708184,0
8,0.24443514236938893,0.46760330578512393,5.168069345277258,0.212,0.7879999999999999,0.14083305114557895,0.30618133422826,3,0.4,0.5472077139413419,0.52688,0,0.236452479338843,0.00918300888743031,0.2418842975206611,26.34041853664674,0
9,0.239712319184618,0.4827603857414876,5.786796571340053,0.112,0.888,0.1968775165014001,0.3717065008122553,3,0.4,0.539099394392203,0.5392,0,0.2365415327286501,0.011217357566934472,0.2462188530128375,21.949808726666564,0
10,0.24169662063586927,0.4967550027041644,8.362076671537238,0.14,0.8599999999999998,0.16255582793015771,0.31833323619967413,3,0.38,0.5144187890199188,0.52832,0,0.24851649540292048,0.013053878062788106,0.2485738236884802,19.04214383594362,0
11,0.2380864313550238,0.5001200978251376,9.080764179834956,0.076,0.9239999999999999,0.07230264689545612,0.44403287583234485,3,0.38,0.5012495546871024,0.52624,0,0.2465433662328588,0.012762545469798015,0.2535767315922788,19.8688210116357,0
12,0.24340796783363594,0.4914919879212678,8.347258402621602,0.052,0.948,0.10120663214266477,0.4735976409044728,4,0.32,0.4443549794006737,0.52208,0,0.24803224668826734,0.010617855422856275,0.24345974123300046,22.92927634981002,0
13,0.24891222158840956,0.5109846536351166,6.867976142588516,0.088,0.912,0.18023510611400356,0.41129581909257934,4,0.38,0.43472358600411015,0.52016,0,0.24546950017146774,0.011055874555061376,0.26551515346364885,24.015753085955204,0
14,0.24407397519915988,0.4828296854680509,6.365175151820318,0.1,0.8999999999999999,0.18565030934639723,0.37441217527863596,4,0.4,0.38096233832906407,0.51872,0,0.24951012806101086,0.012903762298129846,0.23331955740704002,18.081513903960804,0
15,0.23861889602414219,0.46253471929972223,6.817324989282827,0.116,0.884,0.178759952118419,0.3620827940556682,4,0.32,0.3998459095564263,0.53792,0,0.24106609292147127,0.010677171477889946,0.22031131638750948,20.633865143378596,0
16,0.22986640720957305,0.47384333103980314,6.616994495172388,0.04,0.96,0.08822319658621088,0.5291734215710421,4,0.32,0.42781134820692746,0.54224,0,0.24076489230833387,0.014122951060575168,0.23307843873146927,16.50352236807772,0
17,0.22967146072704786,0.47072621504972784,6.707285152489379,0.044,0.956,0.1648701662895387,0.4917113981357744,3,0.38,0.49138263562236817,0.53808,0,0.2406225891870478,0.010754303312557403,0.23010362586268004,21.396423289828224,0
18,0.23391884412666497,0.45739246471091094,6.202714130831757,0.056,0.944,0.12804143341671997,0.44794575469742615,3,0.4,0.4389312977099237,0.54464,0,0.24027334709451426,0.013209567958065084,0.21711911761639668,16.436504078381677,0
19,0.23173834805143073,0.46373887744483855,6.062360904410984,0.04,0.96,0.14610526044395408,0.5264187951938022,3,0.38,0.49138263562236817,0.54064,0,0.24144970162883053,0.01025841617931344,0.22228917581600796,21.668956682052354,0
20,0.23181817495549897,0.46011488931908096,6.120694947813027,0.06,0.94,0.14766443597118506,0.4762644345608431,4,0.38,0.5270041990443554,0.53792,0,0.23896925763824597,0.012674278552595227,0.22896273461829805,18.065149323344713,0
21,0.23405273817744343,0.45947749212902145,6.263470620906625,0.036,0.9640000000000001,0.0969078427866924,0.4773417877696665,4,0.38,0.5270041990443554,0.54496,0,0.23333750338816955,0.010302619035986286,0.2261399887408519,21.949757430703944,0
22,0.23139723494402356,0.46874543900252286,6.373421722425352,0.044,0.956,0.1309229385184973,0.5108572958596022,4,0.32,0.4278896738313543,0.5448,0,0.24112768707908505,0.010878468193883084,0.2276177519234378,20.923695125700352,0
23,0.23315277719474486,0.45992551132059595,6.401716468682888,0.04,0.96,0.12862509669728617,0.4857060607678721,4,0.34,0.4774241322597868,0.55136,0,0.23943112953455098,0.011322412237338767,0.22213565777291472,19.619110584965394,0
24,0.23337209462257089,0.4586945543304436,6.308240984711669,0.02,0.98,0.05008527066860818,0.6285970304458706,4,0.34,0.4774241322597868,0.55088,0,0.23896557528827542,0.01097793800886782,0.22191734702466123,20.21484789269165,0
25,0.23391265060660346,0.4615667873074657,6.423435945184918,0.024,0.976,0.08645475244609149,0.6257632174382803,4,0.34,0.4774241322597868,0.55136,0,0.2424106767107146,0.01229886452397706,0.2191561105967511,17.81921495024998,0
26,0.23390493575475055,0.4594415453244677,6.333475373837363,0.036,0.9640000000000001,0.07038669865442011,0.5751804431978497,4,0.34,0.4774241322597868,0.55088,0,0.24314925090480602,0.008032657882090533,0.21773367140813063,27.106055629928626,0
27,0.2339126506113795,0.4615667873074657,6.422475225621472,0.024,0.976,0.05191660452729938,0.6060258553196307,4,0.34,0.4774241322597868,0.55184,0,0.24234492046124068,0.01128489307355322,0.21922186684622502,19.42613593388703,0
28,0.2339049357566946,0.4594415453244677,6.332652142309586,0.02,0.98,0.04760290974757263,0.6267567846094764,3,0.4,0.5342529572728296,0.55104,0,0.23945164548438685,0.00729497213737881,0.21390876188872987,29.3227661271905,0
29,0.23391265061216968,0.4615667873074657,6.424994161028009,0.02,0.98,0.07840234775433769,0.6239728113298397,4,0.34,0.4774241322597868,0.55184,0,0.24389466374884275,0.012862343058099501,0.21767212355862295,16.92320929207011,0
30,0.23390493575701615,0.4586945543304436,6.332168903986128,0.016,0.9840000000000001,0.04986794863993174,0.6127789649953701,4,0.34,0.4774241322597868,0.55344,0,0.23610175911118597,0.009935062723623943,0.22478116320175068,22.625037149212766,0
31,0.23391265061230038,0.45992551132059595,6.427866859316031,0.032,0.968,0.08199595340279162,0.556832757453932,4,0.34,0.4626710109954084,0.55104,0,0.24114973487080218,0.011566681561076314,0.21877577644979376,18.91430790193173,0
32,0.23390493575706947,0.46088292231293665,6.334967677666368,0.024,0.976,0.06005134295922508,0.6156554016407606,4,0.34,0.4626710109954084,0.55088,0,0.23928278343573778,0.013659625441741952,0.2201587618887299,16.11748161234017,0
33,0.23391265061232197,0.4615667873074657,6.4329192403285065,0.02,0.98,0.0729292218381402,0.6219566959731831,4,0.34,0.4774241322597868,0.55136,0,0.23649840080801282,0.012004880030785323,0.22506838649945288,18.748074609849272,0
34,0.23390493575707821,0.45664295934685634,6.333308460063023,0.024,0.976,0.06614391719925329,0.6009944267616191,4,0.34,0.4774241322597868,0.55104,0,0.2441534803467722,0.008239663401494677,0.21672944196616445,26.30319121128779,0
35,0.23391265061232563,0.4615667873074657,6.42459047792646,0.012,0.988,0.06514975740939724,0.6676581108798814,4,0.34,0.4774241322597868,0.55104,0,0.2406541957747665,0.009589662647959258,0.2209125915326992,23.036534197551862,0
36,0.23390493575707968,0.4608829223129366,6.336041527411655,0.02,0.98,0.06078765036325867,0.626157087209637,3,0.4,0.5472077139413419,0.55104,0,0.2416016118171871,0.01057379799493406,0.21504134752966925,20.337190821377167,0
37,0.23391265061232625,0.4615667873074657,6.4227311292497955,0.028,0.9719999999999999,0.05982821485294713,0.5973584669502642,4,0.3,0.42297085296576675,0.55104,0,0.2397967342816262,0.012921833932034233,0.21810874505512998,16.87908591012158,0
38,0.23390493575707993,0.46088292231293665,6.332217269800055,0.016,0.9840000000000001,0.044002862254499,0.6478601380881848,4,0.34,0.4774241322597868,0.55088,0,0.23947426563420593,0.008773148537758431,0.22140865667873072,25.237080590373928,0
39,0.2339126506123263,0.45925216732598273,6.422817840652531,0.012,0.988,0.04728616056253643,0.6677961705237069,4,0.34,0.4626710109954084,0.55088,0,0.24090880397272962,0.010783404362166186,0.21901670734786632,20.310534594834568,0
40,0.23390493575707996,0.46088292231293665,6.333386064206901,0.032,0.968,0.05564229844395863,0.5886364955607921,4,0.34,0.4774241322597868,0.55104,0,0.23874779059001772,0.009664349370476713,0.22213513172291893,22.985006357645958,0
41,0.2339126506123263,0.4615667873074657,6.427572130614454,0.02,0.98,0.06402487029449817,0.6298028559702584,4,0.3,0.42297085296576675,0.55104,0,0.24195248716438017,0.010694845023868391,0.215952992172376,20.192250723635496,0
42,0.23390493575707996,0.4594415453244677,6.334849539394531,0.02,0.98,0.06051623252074303,0.62527801061249,4,0.34,0.4774241322597868,0.55104,0,0.24255218415958257,0.012316003070858743,0.21833073815335408,17.727402055456842,0
43,0.2339126506123263,0.4615667873074657,6.42540642107873,0.024,0.976,0.043418251670747664,0.6149324725297081,4,0.3,0.42297085296576675,0.55088,0,0.24492677384058575,0.013222281702616794,0.21297870549617043,16.107560728646423,0
44,0.23390493575707996,0.46088292231293665,6.3382670116962645,0.028,0.9719999999999999,0.058472383383506236,0.6002923452223963,4,0.38,0.5270041990443554,0.55136,0,0.24062894537496846,0.013794471372857872,0.21806560895547514,15.808188879534958,0
45,0.2339126506123263,0.4615667873074657,6.426042378711475,0.02,0.98,0.07742307065758203,0.6273507348641928,4,0.34,0.4626710109954084,0.55088,0,0.2370176121538591,0.014400061673996076,0.22290789916673684,15.479648921870137,0
46,0.23390493575707996,0.4608829223129366,6.33572116745527,0.016,0.9840000000000001,0.07866053999501932,0.6455841814351204,4,0.34,0.4774241322597868,0.55104,0,0.2416084504671324,0.012720821047303989,0.21927447184580426,17.23744646909223,0
47,0.2339126506123263,0.4615667873074657,6.424106812345052,0.028,0.972,0.07769878105693663,0.5864706081379341,3,0.5,0.5675244855493803,0.55184,0,0.2441661055466712,0.009956906398699497,0.17662128608702968,17.738570497167547,0
48,0.23390493575707996,0.4594415453244677,6.332248604167261,0.032,0.968,0.0773672979672449,0.5722291617737554,4,0.34,0.4774241322597868,0.55136,0,0.24044851022641192,0.011046762972674385,0.22043441208652473,19.95466116470482,0
49,0.2339126506123263,0.45992551132059595,6.423965135481475,0.028,0.9719999999999999,0.055364895650965876,0.5968226299520699,4,0.34,0.4774241322597868,0.55136,0,0.24111554162107568,0.012545292302334107,0.22045124568639002,17.57242799718378,0
50,0.23390493575707996,0.46088292231293665,6.337143571971384,0.036,0.964,0.03989651159770862,0.5665269825053671,4,0.38,0.5270041990443554,0.55136,0,0.24173785876609716,0.013000054667083183,0.21695669556434644,16.68890640234707,0
