step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,14.4395,6.62612,21.0657,3.88713,1.72878,5.61591,3.75107,3.75107,0.685454,0.314546,2.57118,1.17988
2,2.50034,0.115213,2.61556,1.97118,0.241721,2.2129,1.18196,1.18196,0.955951,0.044049,1.12989,0.052064
3,2.38686,0.192556,2.57942,1.15668,0.394506,1.55119,1.66287,1.66287,0.925349,0.0746511,1.53873,0.124135
4,1.579,0.307156,1.88616,0.96556,0.445967,1.41153,1.33625,1.33625,0.837153,0.162847,1.11865,0.217605
5,1.60454,0.299234,1.90377,1.17455,0.411297,1.58584,1.20048,1.20048,0.84282,0.15718,1.01179,0.188691
6,1.55894,0.251366,1.81031,0.966933,0.445781,1.41271,1.28144,1.28144,0.861148,0.138852,1.10351,0.177931
7,1.34258,0.291535,1.63412,0.966337,0.445936,1.41227,1.15709,1.15709,0.821595,0.178405,0.950655,0.20643
8,1.29666,0.304413,1.60107,0.965345,0.445955,1.4113,1.13446,1.13446,0.809869,0.190131,0.918767,0.215697
9,1.29634,0.305152,1.60149,0.966349,0.445931,1.41228,1.13398,1.13398,0.809458,0.190542,0.917906,0.21607
10,1.29835,0.305934,1.60429,0.967903,0.446469,1.41437,1.13428,1.13428,0.809302,0.190698,0.917972,0.216304
11,1.29565,0.30649,1.60214,0.9673,0.446625,1.41393,1.13311,1.13311,0.808699,0.191301,0.916349,0.216766
12,1.29112,0.30619,1.59731,0.966302,0.446648,1.41295,1.13048,1.13048,0.808309,0.191691,0.913778,0.216703
13,1.28916,0.305651,1.59481,0.9673,0.446625,1.41393,1.12793,1.12793,0.808347,0.191653,0.91176,0.216172
14,1.28792,0.304578,1.5925,0.966935,0.445779,1.41271,1.12726,1.12726,0.808742,0.191258,0.911665,0.215598
15,1.29108,0.305838,1.59692,0.966339,0.445934,1.41227,1.13074,1.13074,0.808482,0.191518,0.914185,0.216557
16,1.2918,0.307641,1.59944,0.966302,0.446647,1.41295,1.13199,1.13199,0.807657,0.192343,0.914257,0.217729
17,1.28847,0.307344,1.59581,0.9673,0.446625,1.41393,1.12864,1.12864,0.807406,0.192594,0.911269,0.217369
18,1.28943,0.305563,1.595,0.967892,0.446472,1.41436,1.12771,1.12771,0.808424,0.191576,0.91167,0.216042
19,1.2905,0.305632,1.59613,0.967296,0.446626,1.41392,1.12887,1.12887,0.808517,0.191483,0.912708,0.216159
20,1.28565,0.305804,1.59145,0.965345,0.445955,1.4113,1.12765,1.12765,0.807846,0.192154,0.910966,0.216682
21,1.28697,0.306292,1.59326,0.966342,0.445933,1.41228,1.12815,1.12815,0.807758,0.192242,0.911272,0.216878
22,1.29215,0.306728,1.59888,0.967892,0.446472,1.41436,1.13046,1.13046,0.80816,0.19184,0.913589,0.216867
23,1.29124,0.307113,1.59835,0.967296,0.446626,1.41392,1.13044,1.13044,0.807856,0.192144,0.913231,0.217207
24,1.28815,0.306634,1.59479,0.966302,0.446647,1.41295,1.12869,1.12869,0.807727,0.192273,0.911677,0.217017
25,1.28708,0.305974,1.59305,0.9673,0.446625,1.41393,1.12669,1.12669,0.807932,0.192068,0.910288,0.216401
26,1.28648,0.30481,1.59129,0.966938,0.445779,1.41272,1.1264,1.1264,0.808451,0.191549,0.910642,0.215762
27,1.29006,0.306002,1.59607,0.966339,0.445934,1.41227,1.13014,1.13014,0.808278,0.191722,0.913467,0.216673
28,1.2911,0.307758,1.59885,0.966299,0.446648,1.41295,1.13157,1.13157,0.807513,0.192487,0.913761,0.217813
29,1.288,0.307429,1.59543,0.9673,0.446625,1.41393,1.12837,1.12837,0.807306,0.192694,0.910939,0.21743
30,1.28909,0.305622,1.59472,0.967895,0.446471,1.41437,1.12751,1.12751,0.808353,0.191647,0.911428,0.216084
31,1.29025,0.305671,1.59592,0.967296,0.446626,1.41392,1.12872,1.12872,0.808468,0.191532,0.912534,0.216186
32,1.28548,0.305831,1.59131,0.965342,0.445955,1.4113,1.12755,1.12755,0.807812,0.192188,0.910848,0.216702
33,1.28687,0.306314,1.59318,0.966342,0.445933,1.41228,1.1281,1.1281,0.807735,0.192265,0.911204,0.216894
34,1.29207,0.306744,1.59881,0.967895,0.446471,1.41437,1.13041,1.13041,0.808142,0.191858,0.91353,0.216877
