step,polarization,modularity,poa,dS,C_out,dL,deltacon,n_comm,max_comm_share,ari_camp,in_gini,parse_fail,Q_rand_mean,Q_rand_sd,Q_norm,z_Q,swap_fail
1,0.21100084556438156,0.42861058601134217,3.9159935032745237,,,,,3,0.4,0.5655010875020914,0.56704,0,0.22155293005671078,0.00980603985496481,0.20768147448015117,21.17893436615004,0
2,0.30142530054476024,0.5180498866213152,4.745458759526992,0.58,0.42,0.5187404312287277,0.20027281431100852,4,0.32,0.40821573689888935,0.47008,0,0.25464739229024946,0.0102212855099014,0.2634024943310658,25.769996746094872,0
3,0.3266165489850023,0.5197670890802586,5.843484435260568,0.212,0.7879999999999998,0.17336176150556254,0.28641956602851304,4,0.34,0.502108001014094,0.4592,0,0.252277766108894,0.010642760923852787,0.2674893229713646,25.133452201473556,0
4,0.34927997355864593,0.5237416050852407,5.019540145781062,0.192,0.8079999999999998,0.15901687324171035,0.29685311782761226,4,0.32,0.4577042881941184,0.44832,0,0.2562930976393163,0.011148100292270879,0.265292221648211,23.797078846890308,0
5,0.35070563506232205,0.5351294894544147,5.424022219171836,0.096,0.9039999999999999,0.12573967728126764,0.3689517923585273,3,0.36,0.45854395538161097,0.4384,0,0.2528144021922239,0.01422287433218987,0.2825621616765121,19.866741073357044,0
6,0.3561673873554996,0.5321398853550297,4.980268891426465,0.08,0.92,0.151348134443402,0.3653724138711416,4,0.34,0.4232340209767228,0.43008,0,0.2581077801405326,0.012086586578525297,0.2759967871671597,22.834965469699593,0
7,0.3678456754735253,0.5511097108450606,5.218914174569407,0.14,0.8599999999999998,0.18830651397669917,0.345186957709772,3,0.4,0.5472077139413419,0.43968,0,0.2542206352540316,0.00939541361933726,0.29688907559102906,31.599361946129118,0
8,0.3897076165183156,0.5041207847805682,4.4584829032515,0.172,0.8279999999999998,0.2160638614922427,0.28777795628562475,4,0.32,0.39990068247246957,0.43152,0,0.25757365902795265,0.012125188978332301,0.24512774432819767,20.216406091999115,0
9,0.3853270714284545,0.5020420546570514,4.555896235087326,0.052,0.948,0.15909676325831734,0.4359450975767212,4,0.32,0.4081887354563388,0.43616,0,0.2542643935681112,0.010674193597059282,0.2514766972391423,23.559315741511714,0
10,0.4123208694046997,0.4945519259323959,4.1764804199567305,0.164,0.836,0.18074051542966016,0.27608007091999925,4,0.3,0.4507050951583108,0.44064,0,0.24976362564416102,0.013257100447989426,0.24511583981133725,18.48940051204874,0
