step,polarization,modularity,poa,dS,C_out,dL,deltacon,n_comm,max_comm_share,ari_camp,in_gini,parse_fail,Q_rand_mean,Q_rand_sd,Q_norm,z_Q,swap_fail
1,0.1997839130017347,0.41687827023699603,4.5713293227765215,,,,,4,0.34,0.421472079856173,0.56368,0,0.22248624576792855,0.011850366905575236,0.19439202446906742,16.40388234541598,0
2,0.3388685230247557,0.48458380644597776,3.9964942662480563,0.688,0.31199999999999994,0.3866104162847038,0.1897021935741237,4,0.38,0.46272001888510805,0.48208,0,0.24741571316272165,0.014901556541925567,0.23896956066031966,16.036550274998334,0
3,0.3710881810970194,0.4848863636363636,3.861968870315473,0.276,0.7239999999999999,0.29354082729948683,0.26740211259887076,4,0.36,0.48723727954020396,0.45488,0,0.24483161157024788,0.012192647116089812,0.24462086776859512,20.06298266811852,0
4,0.36978739901704927,0.48813657407407407,4.050690562446746,0.152,0.8479999999999999,0.14704885804827794,0.32646724209324984,4,0.34,0.47723338298643264,0.4488,0,0.2457695687585734,0.012931166368658875,0.25180844907407407,19.472988119956405,0
5,0.38073565151622796,0.49830178474851267,3.8587306841257996,0.096,0.904,0.13622451003144437,0.3959432214897733,4,0.38,0.5236543654848199,0.44064,0,0.2466755002704164,0.009319550427285604,0.24892212006490005,26.709670386686312,0
6,0.3772397626663515,0.4926464044143823,3.9835480511864043,0.08,0.92,0.11629632080023584,0.41749441711790075,4,0.34,0.44952534765584656,0.42656,0,0.2569169410822357,0.00970007439651897,0.24029069508721967,24.772046611668454,0
7,0.38056909456407134,0.513798185941043,4.326195378714937,0.112,0.8879999999999998,0.15048946163100851,0.33425484375362324,4,0.34,0.4740655271419755,0.42224,0,0.2591309523809524,0.01353705567945455,0.2546672335600907,18.81260146891499,0
8,0.39265344479214676,0.4731545781893004,4.148232196424781,0.124,0.8759999999999998,0.17474695196949006,0.32572620247676715,4,0.34,0.4840680093998477,0.42144,0,0.24738672410836765,0.009739115979330661,0.2299902477709191,23.615105134698847,0
9,0.39031579247897286,0.5120483268066928,5.255886610331077,0.156,0.8439999999999998,0.13812482090692577,0.2947346960811963,3,0.38,0.406093219726089,0.43696,0,0.25653368636525453,0.009761228364718542,0.24750467248131014,25.35589407741991,0
10,0.3865874162689598,0.4910291167978136,4.983925861585437,0.076,0.924,0.14944879375375109,0.39298999041250987,4,0.34,0.44922391405007484,0.428,0,0.2545344838986974,0.011501455954020154,0.24145396636469835,20.99333921983172,0
