step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,72.3639,36.2675,108.631,10.814,6.99558,17.8095,6.09962,6.09962,0.666141,0.333859,4.06321,2.03641
2,18.6951,8.5093,27.2044,5.36062,2.03629,7.3969,3.6778,3.6778,0.687208,0.312792,2.52742,1.15039
3,18.7854,7.99583,26.7812,5.53399,2.42421,7.95821,3.36523,3.36523,0.701439,0.298561,2.3605,1.00473
4,18.2584,7.45955,25.718,4.3969,2.89372,7.29063,3.52754,3.52754,0.709948,0.290052,2.50437,1.02317
5,18.3202,7.27875,25.5989,4.4275,2.86257,7.29006,3.51148,3.51148,0.715662,0.284338,2.51304,0.998448
6,17.7265,6.99316,24.7196,4.36179,2.81289,7.17469,3.44539,3.44539,0.717101,0.282899,2.4707,0.9747
7,19.612,7.63635,27.2484,4.32132,2.51992,6.84123,3.98296,3.98296,0.71975,0.28025,2.86674,1.11622
8,20.1834,7.73883,27.9222,4.83452,2.38684,7.22136,3.86661,3.86661,0.722843,0.277157,2.79496,1.07166
9,20.3267,7.7437,28.0704,4.86795,2.53924,7.40718,3.78963,3.78963,0.724133,0.275867,2.74419,1.04543
10,20.5051,7.8368,28.3419,4.86971,2.54032,7.41003,3.8248,3.8248,0.72349,0.27651,2.76721,1.05759
11,20.3759,7.74386,28.1197,4.86727,2.54363,7.4109,3.79438,3.79438,0.724611,0.275389,2.74945,1.04493
12,20.4311,7.75343,28.1845,4.84243,2.56248,7.40491,3.80619,3.80619,0.724904,0.275096,2.75912,1.04707
13,20.451,7.80331,28.2543,4.41271,2.70492,7.11763,3.96962,3.96962,0.723818,0.276182,2.87328,1.09634
14,20.2854,7.77751,28.0629,3.64803,2.80884,6.45687,4.3462,4.3462,0.722854,0.277146,3.14167,1.20453
15,20.415,7.88395,28.2989,4.39811,2.56556,6.96367,4.06379,4.06379,0.721404,0.278596,2.93164,1.13216
16,20.1639,7.72829,27.8922,3.6222,2.80703,6.42923,4.33834,4.33834,0.722922,0.277078,3.13628,1.20206
17,20.2596,7.91399,28.1735,3.65116,2.80596,6.45713,4.36317,4.36317,0.719099,0.280901,3.13755,1.22562
18,20.1703,7.9096,28.0799,3.63213,2.8073,6.43943,4.36062,4.36062,0.718318,0.281682,3.13231,1.22831
19,20.4683,7.82587,28.2942,4.84151,2.37548,7.217,3.92049,3.92049,0.72341,0.27659,2.83612,1.08437
20,19.9015,7.56521,27.4667,3.68067,2.98142,6.66209,4.12283,4.12283,0.724568,0.275432,2.98727,1.13556
21,20.3523,8.00822,28.3605,3.75973,2.85446,6.61419,4.28783,4.28783,0.717628,0.282372,3.07706,1.21076
22,20.6848,7.95462,28.6394,4.94353,2.44771,7.39125,3.87477,3.87477,0.722249,0.277751,2.79855,1.07622
23,20.634,7.84746,28.4814,4.9305,2.60482,7.53533,3.77972,3.77972,0.724471,0.275529,2.7383,1.04142
24,20.6411,7.86139,28.5025,4.92789,2.6044,7.53229,3.78404,3.78404,0.724186,0.275814,2.74035,1.04369
25,20.6465,7.86133,28.5078,4.93336,2.60523,7.53859,3.78159,3.78159,0.72424,0.27576,2.73878,1.04281
26,20.5829,7.82154,28.4044,4.93086,2.6045,7.53536,3.76949,3.76949,0.724637,0.275363,2.73151,1.03798
27,20.5579,7.82069,28.3786,4.92789,2.6044,7.53229,3.76758,3.76758,0.724415,0.275585,2.7293,1.03829
28,20.5585,7.81969,28.3782,4.93336,2.60523,7.53859,3.76439,3.76439,0.724447,0.275553,2.7271,1.03729
29,20.5892,7.82126,28.4104,4.93086,2.6045,7.53536,3.77028,3.77028,0.724704,0.275296,2.73234,1.03794
30,20.5597,7.82085,28.3806,4.92789,2.6044,7.53229,3.76785,3.76785,0.724429,0.275571,2.72954,1.03831
31,20.5591,7.81983,28.379,4.93324,2.60489,7.53813,3.76472,3.76472,0.72445,0.27555,2.72735,1.03737
32,20.5894,7.82134,28.4107,4.93086,2.6045,7.53536,3.77032,3.77032,0.724705,0.275295,2.73237,1.03795
33,20.5598,7.82089,28.3807,4.92789,2.6044,7.53229,3.76787,3.76787,0.724429,0.275571,2.72956,1.03831
34,20.5592,7.81985,28.379,4.93324,2.60489,7.53813,3.76473,3.76473,0.72445,0.27555,2.72736,1.03737
35,20.5894,7.82135,28.4108,4.93086,2.6045,7.53536,3.77033,3.77033,0.724705,0.275295,2.73237,1.03795
36,20.5598,7.8209,28.3807,4.92789,2.6044,7.53229,3.76787,3.76787,0.724429,0.275571,2.72956,1.03832
37,20.5592,7.81985,28.3791,4.93324,2.60489,7.53813,3.76473,3.76473,0.72445,0.27555,2.72736,1.03737
38,20.5894,7.82135,28.4108,4.93086,2.6045,7.53536,3.77033,3.77033,0.724705,0.275295,2.73237,1.03795
39,20.5599,7.8209,28.3808,4.92789,2.6044,7.53229,3.76788,3.76788,0.72443,0.27557,2.72956,1.03832
