step,polarization,modularity,poa,dS,C_out,dL,deltacon,n_comm,max_comm_share,ari_camp,in_gini,parse_fail,Q_rand_mean,Q_rand_sd,Q_norm,z_Q,swap_fail
1,0.24208708744410848,0.46121981137766693,6.53471961715777,,,,,2,0.52,0.9199791499192793,0.53104,0,0.23301242735627098,0.014873759959648233,0.22820738402139595,15.342951926110894,0
2,0.4500518407867527,0.5831689677843523,3.5791505501182783,0.848,0.15200000000000002,0.6778263252750912,0.16800025938958524,5,0.26,0.4173344512342594,0.4288,0,0.2729861932938856,0.011199546448730505,0.3101827744904667,27.6960121474943,0
3,0.496063525262215,0.5956535745926065,3.335896671580985,0.284,0.716,0.2078251167745391,0.27098306644689857,4,0.38,0.5234805703478156,0.38832,0,0.27083344519315955,0.014562531991281907,0.32482012939944693,22.30519593666168,0
4,0.49273167526255274,0.5834825303819444,3.2462572564964276,0.144,0.856,0.2656324937427643,0.33040964856344746,4,0.26,0.44407596173985897,0.33152,0,0.2782206217447917,0.010414852121160296,0.3110127766927083,29.862428489100726,0
5,0.4970077897553588,0.5883672659564725,3.8714416414573836,0.112,0.888,0.2280039980654517,0.3659300383015274,4,0.4,0.5779265612996899,0.2816,0,0.28839855315771795,0.013507097778643538,0.29996871279875464,22.208228422914345,0
6,0.5028608481241673,0.5800262772850787,3.730488283982975,0.104,0.8959999999999999,0.14986780340134528,0.38016817115026896,4,0.38,0.5498534156959202,0.2728,0,0.2846225626325062,0.013699326824680733,0.29803144316044083,21.75518892092616,0
7,0.513288042527526,0.5872489795918368,4.132053298422001,0.072,0.9279999999999999,0.21617041985268762,0.36242139009997754,5,0.34,0.3963921145307614,0.2632,0,0.2908922448979592,0.01432711554128898,0.2968628571428571,20.720350602836625,0
8,0.517281256786744,0.5935330135083954,3.9403048599586383,0.052,0.948,0.15749544969381538,0.35972020917366687,5,0.28,0.3249454983373969,0.26848,0,0.29397172074233047,0.010872086966319526,0.3008079787905569,27.667915067495816,0
9,0.5185471669309604,0.5894204081632652,4.222143867631769,0.076,0.9239999999999998,0.16394531142791047,0.39941309841149647,4,0.36,0.3853701596977762,0.26496,0,0.3012914285714286,0.01680611689280355,0.28812897959183664,17.144292249640053,0
10,0.5217191673869209,0.5846138946280992,4.171536226804737,0.02,0.98,0.08359086580656559,0.604339908633716,5,0.34,0.3963921145307614,0.2616,0,0.29576526988636365,0.013113816475227285,0.293884781766529,22.410316807597038,0
11,0.5216718847406748,0.59110202552979,3.864842134125904,0.072,0.9279999999999999,0.12838612440622582,0.36914925428848244,5,0.3,0.3266688975526106,0.24368,0,0.29065026060360166,0.014410569144258742,0.3004517649261883,20.84940309563624,0
12,0.5216157122706571,0.602654336573665,4.3990747141958,0.036,0.9640000000000001,0.12477057965455823,0.4955867129149133,5,0.3,0.32999208474829095,0.24928,0,0.2951379245044818,0.012301271398382819,0.30519662921348306,24.810169561302875,0
13,0.5206367782478655,0.5934278144849818,4.276243707721513,0.028,0.972,0.11439784490952236,0.5908027181946917,5,0.3,0.3266688975526106,0.2528,0,0.2998124740655622,0.011355503292766266,0.28978502346069146,25.519346522077242,0
14,0.5192800037692337,0.5951742204267138,4.5215838183799315,0.02,0.98,0.08525977622326662,0.6005849748863141,4,0.38,0.42328662577575815,0.25376,0,0.28972825400833224,0.014117678460596887,0.30317352606994064,21.474743663847594,0
15,0.5230693533064151,0.5959452479338843,4.535431530270718,0.036,0.9640000000000001,0.10683855425033752,0.509415305369405,5,0.3,0.28389817411672374,0.2504,0,0.29643514333677684,0.011901401013524006,0.2995101045971074,25.165953508898905,0
16,0.5266631486032229,0.5944956444893322,4.0995632806541815,0.032,0.968,0.1406315282818008,0.49083561860395525,5,0.3,0.33663754818926606,0.2456,0,0.30077089382653704,0.018386354522333087,0.2960445335184952,16.101317591744632,0
17,0.5275425656482988,0.6015655965120889,4.246241063042832,0.048,0.9519999999999998,0.15666146395988423,0.46126827435614975,5,0.3,0.33663754818926606,0.25632,0,0.29922133042674065,0.010072781803354788,0.30639037521469153,30.41765236219519,0
18,0.5168660643134811,0.6154361773436752,4.174166031394475,0.04,0.96,0.14147209814831616,0.5470454791131556,5,0.3,0.32999208474829095,0.25536,0,0.29399996808069195,0.015181117401478572,0.3214362092629832,21.173422269409286,0
19,0.5183761779058346,0.6174296229338844,4.163581480701465,0.012,0.988,0.0703650205821281,0.7339057876266689,5,0.3,0.32999208474829095,0.24992,0,0.29527940986570245,0.013458974151443169,0.3221502130681819,23.935718238498783,0
20,0.5220196198172044,0.6049650840322096,4.319080708109688,0.04,0.96,0.12379499432946804,0.5029903148041825,5,0.3,0.33663754818926606,0.24656,0,0.2976001536970831,0.014618375744359015,0.3098207424237362,21.193923855958538,0
21,0.5192024553031429,0.6235634039256199,4.268140126354583,0.04,0.96,0.11647104636629785,0.48523907073841566,5,0.3,0.32999208474829095,0.24448,0,0.2951954739152892,0.013893902456806778,0.3244939630681819,23.3551346770258,0
22,0.5183131145132421,0.6239107536148616,4.15622822818316,0.02,0.98,0.11806027344988135,0.5935086264172307,5,0.3,0.32999208474829095,0.24672,0,0.29496871907817035,0.012545236522154175,0.3266438443614542,26.037280667018095,0
23,0.5191871687594056,0.6108115960743803,4.161564024821387,0.02,0.98,0.07967091625693341,0.583105385323504,5,0.3,0.32999208474829095,0.24176,0,0.29735036802685955,0.013042914195442273,0.3099262332128099,23.762038802732505,0
24,0.5202705017549856,0.6092757509017205,4.121536755833949,0.036,0.964,0.07603212743121403,0.611149612391794,5,0.3,0.34660346659895236,0.2488,0,0.29273755944971114,0.01031765311804425,0.315325257748412,30.561723110941642,0
25,0.520685859778553,0.6125793992786237,4.366067078464847,0.024,0.976,0.08598140150102095,0.572055003031366,5,0.3,0.32999208474829095,0.2432,0,0.29288598423186185,0.011533689016659193,0.3157832998180601,27.379210533762834,0
26,0.5219616806011662,0.6049985636311404,4.437501386845952,0.024,0.976,0.10280107789689905,0.6181071705458904,5,0.24,0.2952767547514718,0.24304,0,0.2952216795939864,0.00942423176546897,0.31135688978262954,33.037906699563834,0
27,0.5230446638335713,0.5867284349173554,4.394997419847174,0.024,0.976,0.13861762701366512,0.5573357385971316,4,0.4,0.45802564473832386,0.2472,0,0.3029748837809917,0.01365352089113361,0.2792500645661159,20.45260462797231,0
28,0.5208511408616927,0.5962845925500335,4.274499860104149,0.02,0.98,0.08332496794568908,0.622098997109654,5,0.3,0.32999208474829095,0.24704,0,0.3002689201698107,0.014393218069573992,0.29659021992403206,20.606247921095417,0
29,0.5240564740452921,0.611094596379971,4.373411920093825,0.036,0.9640000000000001,0.12639282064360918,0.5440917191187761,5,0.3,0.33663754818926606,0.24688,0,0.3019214889681596,0.013306581517496528,0.31518446954683577,23.686359199949795,0
30,0.5258379564673091,0.6026262153763908,4.397599887876865,0.04,0.96,0.12042050068518567,0.5423870594613163,5,0.3,0.3548473774720551,0.2424,0,0.29799859667880657,0.012787799705405604,0.3058638778442313,23.918413244691173,0
31,0.5284174893429439,0.6069531223896556,4.363325550049643,0.012,0.9880000000000001,0.06513761240513449,0.7439737653804643,5,0.26,0.3052513029477934,0.24528,0,0.29679491463129404,0.011044836277201892,0.3033420762471182,27.464605960095508,0
32,0.527408324663636,0.6000462412471925,4.362976000116837,0.012,0.9880000000000001,0.0594345167233065,0.8112608959767303,5,0.3,0.359887109622145,0.24352,0,0.3031006407715683,0.015893542735476867,0.3043276852952834,19.147882279007344,0
33,0.5281885428057308,0.6069531223896556,4.358019751671647,0.012,0.9880000000000001,0.0594345167233065,0.8112608959767303,5,0.3,0.359887109622145,0.24928,0,0.2924487954826423,0.017119133656718962,0.3145043269070133,18.371509517572804,0
34,0.5272174978259974,0.6121320458418257,4.374452670637867,0.016,0.9840000000000001,0.08004743898059208,0.6800199753441855,5,0.3,0.359887109622145,0.24848,0,0.3034072304453874,0.014201414159020563,0.30872481539643826,21.739019222979287,0
35,0.5293817479212481,0.6116988912925906,4.368009121861926,0.012,0.9880000000000001,0.056343721626489,0.811260911882741,5,0.3,0.359887109622145,0.24832,0,0.30483707409410493,0.01390248202908804,0.30686181719848576,22.072448398526358,0
36,0.5282395612960928,0.6121320458418258,4.382839340887739,0.012,0.9880000000000001,0.06280182663741679,0.7385592747037534,5,0.3,0.359887109622145,0.24352,0,0.30119282301446754,0.017306369881758772,0.31093922282735814,17.966750101365495,0
37,0.5289124088940143,0.6116988912925906,4.378341203924427,0.008,0.992,0.05796080393407975,0.8112609998485705,5,0.3,0.359887109622145,0.24528,0,0.2943305502974581,0.014900334960213125,0.3173683409951325,21.299409834917768,0
38,0.5269958468143142,0.6151892812990745,4.343373835906654,0.016,0.9840000000000001,0.10354125190381776,0.67523252629137,5,0.3,0.359887109622145,0.24304,0,0.30147766380433694,0.014898217616504042,0.3161173109692941,21.218465128278407,0
39,0.5282252826593045,0.611547328677871,4.14216706462102,0.024,0.976,0.10212220351052674,0.5224993645813991,5,0.32,0.3764848396943899,0.24832,0,0.29949129606735947,0.01386939863785941,0.3018652477530155,21.76484039682957,0
