step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,38.4862,18.39,56.8761,6.01491,4.14123,10.1561,5.60017,5.60017,0.676667,0.323333,3.78945,1.81072
2,30.411,13.9866,44.3976,5.20032,3.53292,8.73324,5.08374,5.08374,0.684969,0.315031,3.48221,1.60154
3,30.3842,13.8722,44.2564,5.39061,2.95351,8.34411,5.3039,5.3039,0.68655,0.31345,3.64139,1.66251
4,36.3233,17.0046,53.328,5.85832,3.56484,9.42316,5.65925,5.65925,0.681131,0.318869,3.85469,1.80456
5,35.3932,16.0714,51.4646,6.90744,3.30964,10.2171,5.03712,5.03712,0.687719,0.312281,3.46412,1.573
6,36.2735,16.3835,52.657,6.98293,3.0278,10.0107,5.26006,5.26006,0.688864,0.311136,3.62347,1.63659
7,38.8343,17.5891,56.4233,6.84871,2.93868,9.78739,5.76489,5.76489,0.688266,0.311734,3.96778,1.79711
8,38.5157,17.6159,56.1316,6.64448,2.93203,9.57651,5.86138,5.86138,0.686167,0.313833,4.02189,1.83949
9,43.7471,18.8124,62.5595,8.46793,4.18933,12.6573,4.94258,4.94258,0.699287,0.300713,3.45628,1.4863
10,51.9088,21.4411,73.3498,11.4843,5.84775,17.3321,4.23203,4.23203,0.707688,0.292312,2.99496,1.23707
11,56.0636,23.4805,79.5441,9.84709,5.66615,15.5132,5.1275,5.1275,0.704811,0.295189,3.61392,1.51358
12,53.8774,22.4015,76.2789,9.58288,5.01787,14.6007,5.22432,5.22432,0.706321,0.293679,3.69005,1.53427
13,52.1344,22.3595,74.4939,8.45867,3.69668,12.1554,6.12849,6.12849,0.699848,0.300152,4.28901,1.83948
14,55.6022,23.7118,79.314,8.80175,3.89653,12.6983,6.24605,6.24605,0.701039,0.298961,4.37872,1.86733
15,56.0107,23.8349,79.8456,7.97555,3.80946,11.785,6.77518,6.77518,0.701488,0.298512,4.75271,2.02248
16,53.5571,22.8234,76.3805,7.76162,4.14405,11.9057,6.41548,6.41548,0.701188,0.298812,4.49846,1.91702
17,54.429,22.7683,77.1974,7.74773,3.86201,11.6097,6.64936,6.64936,0.705063,0.294937,4.68822,1.96114
18,56.5859,23.956,80.5418,8.77881,4.24428,13.0231,6.18454,6.18454,0.702565,0.297435,4.34504,1.8395
19,55.8702,23.6159,79.486,8.80266,3.73927,12.5419,6.33763,6.33763,0.702893,0.297107,4.45467,1.88295
20,51.7798,21.4971,73.2769,8.44745,4.3516,12.799,5.72518,5.72518,0.706632,0.293368,4.0456,1.67958
21,52.5512,21.6443,74.1956,8.49277,4.22922,12.722,5.83207,5.83207,0.70828,0.29172,4.13074,1.70133
22,52.9298,21.6884,74.6182,8.52233,4.15172,12.674,5.88748,5.88748,0.709342,0.290658,4.17624,1.71124
23,52.8807,21.731,74.6118,8.53976,4.01374,12.5535,5.9435,5.9435,0.708745,0.291255,4.21243,1.73107
24,52.6336,21.6005,74.2341,6.80107,4.41081,11.2119,6.62102,6.62102,0.709022,0.290978,4.69445,1.92657
25,52.3686,21.6943,74.0629,9.54108,5.05014,14.5912,5.07585,5.07585,0.707083,0.292917,3.58905,1.4868
26,53.4893,22.6638,76.1531,9.38807,4.99294,14.381,5.29539,5.29539,0.702392,0.297608,3.71944,1.57595
27,55.4551,23.6383,79.0934,10.0935,5.93105,16.0245,4.93578,4.93578,0.701134,0.298866,3.46064,1.47513
28,54.0894,22.7246,76.814,10.0908,5.5108,15.6016,4.92347,4.92347,0.70416,0.29584,3.46691,1.45656
29,53.5593,22.4269,75.9863,9.02307,4.05304,13.0761,5.81107,5.81107,0.704856,0.295144,4.09597,1.71511
