step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,39.7308,32.6019,72.3327,7.99604,5.08487,13.0809,5.52964,5.52964,0.549278,0.450722,3.03731,2.49233
2,28.4103,22.0625,50.4729,6.57741,3.36506,9.94247,5.07649,5.07649,0.562883,0.437117,2.85747,2.21902
3,33.1483,22.5916,55.7399,6.43985,4.1523,10.5921,5.26238,5.26238,0.594696,0.405304,3.12951,2.13287
4,34.1437,22.595,56.7387,5.73825,4.52382,10.2621,5.52898,5.52898,0.601771,0.398229,3.32718,2.2018
5,33.6737,22.1137,55.7874,4.74513,4.44587,9.191,6.06978,6.06978,0.603608,0.396392,3.66377,2.40601
6,36.8662,23.0277,59.8939,6.2274,4.76468,10.9921,5.44882,5.44882,0.615525,0.384475,3.35389,2.09494
7,36.6249,22.8369,59.4618,7.15533,4.00044,11.1558,5.33014,5.33014,0.61594,0.38406,3.28305,2.04709
8,34.3818,21.8172,56.199,5.65454,3.67628,9.33083,6.02294,6.02294,0.611787,0.388213,3.68476,2.33819
9,34.1603,21.8485,56.0088,5.71694,3.5318,9.24875,6.05582,6.05582,0.609909,0.390091,3.6935,2.36232
10,34.5271,21.8479,56.375,5.96827,3.58276,9.55103,5.90251,5.90251,0.612455,0.387545,3.61502,2.28749
11,34.1507,21.6794,55.8301,5.36159,3.6389,9.00049,6.203,6.203,0.61169,0.38831,3.79432,2.40869
12,34.3778,21.6442,56.022,5.3437,3.62424,8.96793,6.24693,6.24693,0.613648,0.386352,3.83341,2.41352
13,34.1917,21.559,55.7508,5.30985,3.74309,9.05294,6.15831,6.15831,0.613296,0.386704,3.77687,2.38144
14,34.2213,21.4854,55.7067,5.22558,3.53483,8.76041,6.35892,6.35892,0.614312,0.385688,3.90636,2.45256
15,34.1681,21.504,55.6721,5.30622,3.75142,9.05764,6.14642,6.14642,0.613738,0.386262,3.7723,2.37413
16,34.1599,21.518,55.678,5.31057,3.75426,9.06484,6.14219,6.14219,0.613527,0.386473,3.7684,2.37379
17,34.1603,21.5157,55.676,5.3114,3.75379,9.06519,6.14174,6.14174,0.613555,0.386445,3.7683,2.37344
18,34.2067,21.5385,55.7451,5.31688,3.73236,9.04924,6.1602,6.1602,0.613626,0.386374,3.78006,2.38014
19,34.2067,21.5384,55.7451,5.3203,3.73113,9.05144,6.15871,6.15871,0.613627,0.386373,3.77915,2.37956
20,34.2067,21.5384,55.7451,5.3089,3.72778,9.03668,6.16876,6.16876,0.613627,0.386373,3.78532,2.38345
21,34.2067,21.5384,55.7451,5.31497,3.73339,9.04836,6.1608,6.1608,0.613627,0.386373,3.78043,2.38037
22,34.2067,21.5384,55.7451,5.30807,3.7298,9.03787,6.16795,6.16795,0.613627,0.386373,3.78482,2.38313
23,34.2067,21.5384,55.7451,5.31939,3.7321,9.05149,6.15867,6.15867,0.613627,0.386373,3.77912,2.37955
24,34.2067,21.5384,55.7451,5.31352,3.73081,9.04433,6.16355,6.16355,0.613627,0.386373,3.78212,2.38143
25,34.2067,21.5384,55.7451,5.31872,3.72984,9.04856,6.16067,6.16067,0.613627,0.386373,3.78035,2.38032
26,34.2067,21.5384,55.7451,5.31509,3.7342,9.04929,6.16017,6.16017,0.613627,0.386373,3.78004,2.38012
27,34.2067,21.5384,55.7451,5.32083,3.73146,9.0523,6.15812,6.15812,0.613627,0.386373,3.77879,2.37933
28,34.2067,21.5384,55.7451,5.31523,3.73205,9.04728,6.16154,6.16154,0.613627,0.386373,3.78088,2.38065
29,34.2067,21.5384,55.7451,5.3203,3.73218,9.05249,6.15799,6.15799,0.613627,0.386373,3.77871,2.37928
30,34.2067,21.5384,55.7451,5.31828,3.73287,9.05115,6.1589,6.1589,0.613627,0.386373,3.77927,2.37964
31,34.2067,21.5384,55.7451,5.31544,3.7309,9.04634,6.16218,6.16218,0.613627,0.386373,3.78128,2.3809
32,34.2067,21.5384,55.7451,5.31514,3.73057,9.04571,6.16261,6.16261,0.613627,0.386373,3.78154,2.38107
33,34.2067,21.5384,55.7451,5.31738,3.73349,9.05087,6.15909,6.15909,0.613627,0.386373,3.77938,2.37971
34,34.2067,21.5384,55.7451,5.31767,3.73198,9.04965,6.15992,6.15992,0.613627,0.386373,3.77989,2.38003
35,34.2067,21.5384,55.7451,5.31956,3.73251,9.05207,6.15827,6.15827,0.613627,0.386373,3.77888,2.37939
36,34.2067,21.5384,55.7451,5.31658,3.73378,9.05036,6.15944,6.15944,0.613627,0.386373,3.7796,2.37984
37,34.2067,21.5384,55.7451,5.31948,3.73253,9.05202,6.15831,6.15831,0.613627,0.386373,3.7789,2.37941
38,34.2067,21.5384,55.7451,5.31716,3.73012,9.04727,6.16154,6.16154,0.613627,0.386373,3.78089,2.38066
39,34.2067,21.5384,55.7451,5.3191,3.7319,9.05099,6.15901,6.15901,0.613627,0.386373,3.77933,2.37968
40,34.2067,21.5384,55.7451,5.32036,3.73207,9.05243,6.15803,6.15803,0.613627,0.386373,3.77873,2.3793
